sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_mar	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	
0	9.19995968230763	2.20290722316807	1.28387896400342	0.865609451874585	0.217503519107284	1.1831296631894	1.52097635964608	3.13446452984173	4.05383969235557	1.1230200080501	2.31151811548678	1.23002259828023	1.90369491355322	1.43630309002974	1.262907367525	2.6372593819424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616658929616367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0974563299905701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19992333986296	2.11676082973584	2.00808349870745	1.12802014207831	0.227002590470678	1.01083168713842	1.2719097081771	1.71111579966448	0.8387361876844	2.10226830177923	2.15761830680697	0.869352379232599	2.11418116588523	1.61166530633122	0.659563625024259	2.13219905490541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442474910274326	0	0	0	0	0	0	
2	9.19999579916826	2.27914945343209	2.02367801564946	1.13511704267793	0.344402989610871	2.48822536897878	1.00494029885061	3.28508349001997	5.40505969847032	0.585095018813938	3.32000280506016	1.50551114202303	2.72893911120586	3.87431062805065	4.1525331789439	2.68375686190264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214163160145884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19991317952141	1.99933444366629	1.22037799735308	1.1615605800775	0.740051678912782	0.734920049022571	1.04474429061271	2.17516397892597	0.729576171706148	0.49818805725113	1.63951563826148	0.618108025754652	0.785366243916303	0.374436372400368	1.10898600263486	1.23752624291162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089099887290149	0	0	0	0	0.10508349488562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128438363951065	0	0	0	
4	9.19998829846335	1.89790294848801	1.47662069383675	1.20471059483047	0.625357890677208	1.00352018253621	0.843707423962208	0.867351034831158	1.039248253144	0.585668422818986	1.14672316424311	0.680703458803396	0.824740121910382	0.76640098989233	0.19196125546991	0.669146461863603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0567058927933294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156487851575261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.353018990720714	0	0	0	
5	9.19999835312929	1.98405017106	1.81178458332094	1.52956932567186	0.492954318346646	1.5382480081393	0.95165772373628	1.16053646321565	0.819764650709973	1.46368702061659	3.03842843076599	0.761435826211076	0.851470818578165	1.02052427372006	2.19322786141356	1.64617626418162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141017762708239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209849254786371	0	0	0.407749674650588	0	0	0	
6	9.1999146111639	2.07952588184022	1.69294632037221	1.34058729711476	0.324554255645408	1.44924871982379	1.12645478707474	1.10163778544061	1.71145496567816	0.967060838739858	1.43560543347621	1.01229265437603	2.53340414070512	1.08683050499897	2.57744787348686	1.19363902509704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142154394759775	0.0956666782095237	0	0	0	0	0.181163538699763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19995977869442	1.73407784719765	1.01315285363857	0.910129239023832	0.389754685564302	2.86766909826945	1.21545045328351	4.13047974281856	1.3397653539951	4.18571687938234	2.41076716642888	2.98166178407257	2.0755503657816	2.66543348899987	1.66447728218423	1.52206084417689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19995787363958	1.91105229097297	1.87950663817232	1.04340659361295	0.48883625705698	1.38084286443363	1.30184539724175	2.47404350032566	2.28425996381602	0.920014951474652	2.30472674789444	1.76534501649608	1.13352506369627	1.89921135664265	1.63727122784358	2.07947566019869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386481278140446	0	0	0	0	0	0	0	0	0	0	0	
9	9.1999973066054	1.46905004214461	0.701357368003681	0.56339816096179	0.205598349817122	3.21714075783593	0.980065683199857	3.36040731568447	1.20080913823409	0.557766619633829	1.8856723976936	0.698064998158339	1.15269042609184	1.14578508179211	1.39824321641479	0.754702946774527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	9.19993441814712	1.52485772486726	1.37657059383169	0.966230567396518	0.07558137830187	2.54510305161596	1.02445161716008	2.70091259488493	1.31549402022072	2.27057419318394	2.08321569903544	0.980466419677296	2.11608683710274	1.51380537828468	1.67410381990922	1.13266865669628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	9.19991802188595	1.62664295661774	1.37170032343068	1.22993937907558	0.105165985685751	4.37054250540971	1.23675916993851	1.15992914775146	0.888173252317417	2.69734702307622	1.43625504491347	1.89810910541707	1.80196211152535	3.59273616855049	1.47000741834221	1.01636766347317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	9.19995011088285	1.78938724460574	1.29298651835475	0.86749644275734	0.0523474297060077	5.36307117142171	1.08513453369173	1.55653774490023	2.37310799784158	2.82069301009535	2.16929240118283	1.20171287539923	2.50962542882101	1.2495004950848	3.07037663682339	2.03210811864254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0522136192568873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19996822730739	1.5812175209448	1.26191244147575	1.22318749058316	0.45533184317466	0.580722027146812	1.2933442891837	2.94126595161635	0.9060377422364	0.789175162394568	1.60701187259306	2.3674682933077	1.03950670801354	2.98658764034029	0.58739715009782	1.72243467360623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	9.19990383450804	1.71565396717336	1.58731755386455	1.09159371018554	0.47464388750394	1.27325633059048	1.51256411033951	1.35260145338484	1.07899889227204	0.840643864814491	2.44533964212273	1.38378906655028	1.13519055501092	1.54141813725378	1.31794214573333	1.64836467537028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22909546307122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	9.19995546032091	2.44409361586373	1.97080812753749	1.51676441172831	0.454640466202984	3.34236417016538	1.06761940778558	2.05170897439193	1.28677962009795	4.48697493515855	2.152358653697	2.05486518753627	1.75971175665962	4.22338186797937	1.8929675122266	2.36389556017113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.19999609308228	1.87478414069324	1.4599763509062	1.02169736880129	0.406395961353471	0.991944930175157	1.1412485471684	1.56773971520926	0.954174808031531	0.90703859263235	1.85220238227703	0.765181442160926	1.23040800744767	1.05299188366396	0.689138350966174	0.668964945923397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	9.1999287135348	1.35773393198428	1.27013278902646	0.854322192407065	0.0337378253264378	1.01370674859248	1.28875663995468	2.74731335920733	3.72845769243459	1.57211114328148	1.27356992546518	2.81236249918891	2.39689595633238	2.02734666705318	1.61742005551579	1.39249185249304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	9.19997408932498	1.7882260544787	1.66546275508321	1.14223053093058	0.519806952459147	1.76163397544861	1.06003645229745	0.671734496179811	0.526015547374456	1.33431209281664	1.75938429350257	0.764063894967009	2.03134041000787	1.09775727963109	2.13032855873784	1.80964733494151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0613253024383795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	9.19995194187172	2.00322535018435	1.74365025132298	1.37720152602083	0.434027314691298	1.18087314813505	1.41583120099949	5.30303743101503	1.96585537057352	2.91939074611035	1.76618137276311	1.51440529122708	1.13991170965047	1.66620529040132	1.8142622630745	1.77327874954426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
