sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar	mig&neo_bri&neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar:neo_oli:neo_pul&neo_bri	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	
0	9.19998200305769	2.35858120697949	1.71570919543243	1.40178361226712	1.03044982982006	0.569777838575128	0.903712463001541	1.07915936984098	2.56065575477008	1.65792154538277	0.640653975522995	1.9619782671681	1.196060025894	0.845436845155002	0.840492709156192	1.40069115383817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346541782158133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00779941113896844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19990448615441	2.19118705183491	1.36240939922381	1.0233109886409	0.47494497654438	0.730268348979698	0.677265859539604	1.0269485942361	1.72163416868585	1.15632425253269	2.17455450594185	0.723339548981207	1.80725279492216	1.30807978631386	0.490869375994274	0.527615623835797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874565555402173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209441152749608	
2	9.19999322000938	2.14706313089329	1.50307826582939	1.30349759504058	0.758533391272912	0.845927343890142	0.807943746106106	0.378778910835545	2.25835445973168	0.981456062796122	0.759927842346537	0.492768184796565	0.584175050814449	0.672881612163675	1.02702391479513	0.473551542241913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238874555156412	0	0	0	0	0.223983573794312	0	1.23475032419537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19993414069765	2.71730711968147	1.36325057637695	1.29547247984243	0.95746892580556	0.414819801443957	0.617112492520987	0.170817190768391	1.45210532713932	0.333042664114219	0.511683206838345	0.488889496567778	0.405572504052554	0.215065934856241	0.405669467170929	0.389033775715359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15930472231279	0	0	0	0	0.358847736146752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19993156751718	1.49601623010017	1.48662892942007	1.47977879914561	0.433482986460023	0.722392788880691	0.881146398573935	0.563111485836278	0.537541508443253	0.417618684319474	0.400017895484673	1.18685075764078	1.2605285948811	0.644771819683908	0.599275589954948	0.613052297927379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462219558255509	0	0	0	0	0	0	0	0	
5	9.19994944344205	1.58537346113695	1.53412394501093	1.16979206647215	0.610144201878559	0.98283868366894	0.887510133173379	0.57024586235414	1.18818377156574	1.20948917944657	2.57212217350966	0.497178585993575	0.487707530212287	0.59476472090678	1.08603765384369	0.708042993693422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0907952356155134	0	0	0	0.466396379100835	0	0	0	0	0	0	0	0	
6	9.19997332092019	1.67734338790917	1.53906698091521	1.2646888173358	0.196459791970445	2.14460031615794	1.33452335007917	3.55200884608281	3.67862621166489	1.77846169167403	1.23954718743256	0.857155587684019	1.70424900150005	3.12294986936193	1.81686821157725	1.46212525595988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19995638080989	1.80059469009439	1.53399723191384	1.25704935659031	0.316015293390942	0.779236068202662	1.19418174655217	0.856155020459046	1.91408705544448	2.23360177872942	0.544953663268366	0.532220036170892	0.903174700216008	1.14829526336818	1.11541633641903	1.10261824611022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0324620969517217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777779875522726	0	0	0	0	0	0	0	0	
8	9.19998249236105	2.13832604135116	2.11448356801416	2.07095442833453	0.964252913448858	0.809106691279462	1.37533551614512	0.437232780726281	1.27777142183806	1.35925917223236	1.14983096850752	1.72654180983548	1.13852781012857	1.76089893584596	0.918885821018847	2.05543408660466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0777988185933306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116963101809718	0	0	0	0	0	0	0.268473897504195	0	0	0	0	0	0	0	0	
9	9.19999541345439	2.32649824546036	1.8587612304159	1.81108184483589	1.20189732634368	1.06383533458915	1.13528810051944	0.565783250791851	1.99971746453709	1.10369186551623	1.51651343751972	0.757767134548678	0.677928053795432	3.05562056986755	1.82139871157151	1.77743567176115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606629946545611	0	0	0	0	0	0	0	0	0.00139028771554074	0	0	0	0	0	0	0	0	0	0	0	0	0.230062664284489	0	0	0	0	0	0	0	0	
