sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar:neo_oli:neo_pul	height&neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar:neo_oli:neo_pul	Ne&neo_mar	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_gra	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_mar:neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar:neo_oli:neo_pul&neo_bri	mig&neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&neo_bri	mig&neo_mar:neo_oli:neo_pul&neo_gra	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_mar:neo_oli:neo_pul	
0	9.19998720830126	2.33063163605141	1.17811633674155	1.14244410510457	0.650731477756714	0.770513149842932	0.910966068289309	0.25742246918392	1.61543438064592	0.858570335020706	0.369977318138915	0.870571870846623	0.407916424589772	0.356008390133975	0.352250076621394	0.433212667957223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280654075550595	0	0	0	0	0.419866443048426	0	0	1.0928160206798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0931030963287687	0	
1	9.19994736258461	2.56628733755644	1.31508396649763	1.30685292546813	0.572389865371992	1.14520422157482	0.867243710892821	0.302052720789498	2.67827622718751	1.67317540431909	1.68233005775692	0.977477985759718	0.90589746025552	1.24469246830928	6.240432144757	1.32240239571989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371451258174142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283529208884139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19998189983193	1.35755598791812	1.34603578025439	1.2393318222416	0.773906592385441	1.14487819113646	1.09133991496317	0.380931350518822	0.559829249468936	1.44402166310638	1.01348894529546	0.432588771527923	0.350541211800801	0.879194011211825	0.398510046661458	0.341912593652166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12693004770185	0	0	0	0	0	0.310112963295466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19994401422567	1.87019958700433	1.43744597425675	1.42281639887031	0.598499404908636	1.76024908999406	1.0409548140574	0.76843849110004	1.43845858619873	1.99271457474432	0.885629093888573	0.721436756362373	0.807895890990704	1.77614701268488	2.63628700489329	1.11812609063868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47464567586849	0	0	0	0	0	0	0	0	0	0.168941507471505	0	0	0	0	0	
4	9.19991293406295	1.67486628952334	1.12592365019815	0.827941091826698	0.21018601017263	1.4907055140618	0.945369269916991	0.821176898638987	1.36092768077143	1.49750707857417	0.896083051612107	0.855851231543442	0.641208031334832	0.613103375501535	2.07883432472691	0.572903541160627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.742665030960059	0	0	0	0	0	0	0	0	0	0	0	0	0.557925707744793	0	0	0	0	0	0	0	0	0	0.0867254445271083	0	0	0	0	0	
5	9.199902316127	1.96846307636268	1.73219766765106	1.57900119944731	0.457179027336553	1.68756444794133	0.900088355886428	1.19310079210059	1.21614322603076	1.55505236230629	1.44990855477529	0.666093153308455	0.795853210030836	2.38994764578426	0.81805017755261	1.07337198214716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276852866887178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64105834531656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19998995321169	1.71393614062501	1.60047832551846	1.57972386345202	0.709911591273829	0.696101842296938	1.11650228730268	0.441618428471026	5.38967909813607	0.441158233473256	0.485271680457612	0.929752802873581	1.66666009252037	0.865972697204735	2.2558722699948	0.654235112625413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093741178156651	0	0.44911628669139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19991193011685	1.99148053772522	1.8593416406672	1.70669553484453	0.762105394505759	3.15015224371836	1.1063414465344	0.815524840094261	2.9726943482605	2.15731529482239	1.13909625823114	0.953015071361433	1.24381036109874	1.05523649404781	1.04021466786874	1.81518750170397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292241131837864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19996380856125	1.70521263577299	1.6172487275283	1.29981591030988	0.607435375969553	0.765025416186498	1.01169486928578	2.18008467129818	1.1264581638871	1.91998472021041	0.444172097966226	0.657471683469933	0.41935564548681	1.83696525202243	0.692896646913347	1.43333465288526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370230930091345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19995982317031	2.01696100400506	1.66967398150015	1.38975014593474	0.769904661240073	0.787278873724488	1.08713399451144	0.593258112216367	1.57613743691008	1.22237326153299	0.841276398911131	1.25045974220537	0.538068082257903	0.597868766197653	1.32154009335003	0.942438509280335	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138622695415926	0.330094400142297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
