sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_gra:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_gra:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_gra	Ne&neo_bri	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_gra:neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_oli:neo_pul&neo_bri	mig&neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_oli:neo_pul	
0	9.19993313364996	2.61580219475041	1.15176162621423	1.12462100487691	0.466345376043517	0.489955627685407	0.71592517773123	0.218864869816104	1.37952146796103	1.3364719102395	0.995813973613443	0.678889627393593	1.75413791370079	0.464143629299166	0.268574358595324	1.02299351518683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149356753506787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19994949811902	1.51948954677842	1.43976128468612	1.38986463610031	0.531180957083649	0.79264369187408	0.962478739959536	1.21168094035327	1.47390023852585	1.7731500370495	0.877719148443443	2.06926885782867	0.715609877410108	0.582231730647554	0.533905008880435	0.528681661998733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.621195475064657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19992839661295	3.09969721901542	1.19462874777356	1.17991769185927	0.568239818825831	0.472913178226519	0.811333112532852	0.441396461082031	1.85954973739232	0.748918976454355	1.05972136841084	1.145585809211	0.5453122336173	1.32423907148863	1.05260636010541	1.87168071745149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216269689827844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19992905929113	1.9779488493907	1.68676825240573	1.60577946486302	0.693351825822317	0.820257858239449	1.09900109245491	1.01838811756114	2.32002365761419	1.84797571404964	0.80106334094516	2.47296344797947	0.533530500345135	1.1444372425925	0.829316742765986	2.04247708348123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.439245858537211	0	0	0	0	0	0	0.283613187476824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19996480547069	3.33872627702607	1.27815012383747	1.25495391321534	0.930205669083358	1.5996402034341	0.895310960435662	0.35336339815377	2.38731942272429	0.719290071471508	0.509994928390492	1.09441743219125	0.674408507732114	1.34073347689375	2.2044819435407	2.13041137305512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170403707088974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.19991468702218	1.69938700298908	1.50404566815366	1.49461618658304	0.582490947944943	0.304308044634785	1.01750330884498	0.751442042979416	1.42547488263256	0.603860459201574	0.792191656048608	0.87707990441139	0.751124523584288	0.818247884841356	0.304724534434904	1.12653295650567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290494431077281	0	0	0	0	0	0	0.0825122549089948	0	0	0	0.0128304784515948	0	0	0	0	0	0	0	0	0	0	
6	9.19996780240922	2.08026003969408	1.5997985527431	1.56804302435482	0.658156452587105	1.52474421819082	1.07442953497591	1.38854487676978	1.69636144334394	0.954931715668817	1.65437502192868	1.44891585038823	1.47647371262734	0.493745489719274	0.469080269431651	1.5766072717019	0	0	0	0	0	0	0	0	0	0	0	0	0.0476645692663938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234386052389783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107254925491683	0	0	0	
7	9.19996133043979	2.36076891447206	1.08435262093182	1.0694778127951	0.558382366564135	0.735573577243545	0.618755854697886	0.185679676903984	1.34958508630548	2.42010789084206	0.798454875036748	0.28793678005821	0.552944077445731	1.86356388262346	0.542317687261154	0.234068979694051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244703001510386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081446759072845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19992360445335	2.89913734723921	1.26891658915567	1.19688312574021	0.583209233663575	0.252642151979414	0.624550240233818	0.183815520823748	1.76873691396751	0.901129014842623	0.325722847500423	0.260451784967279	0.803005856602875	0.581402739352265	0.885052362617943	0.887554546229965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264823292632753	0	0	0	0	0	0	0	0	0.52039660603389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19992082248271	3.2493340580773	1.49182016576597	1.43828646485003	0.885156925523842	0.551655776865414	0.914046383011676	0.39642479170188	1.54483916534853	2.26178336832949	0.592036236041658	0.575349305624541	0.457894337054513	2.44468749944632	0.919275467460513	2.03969692443995	0	0	0	0	0	0	0	0	0	0	0	0	0.256975302010905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0545899863021978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
