sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli	mig&neo_gra:neo_mar&neo_pul	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_gra:neo_mar	mig&neo_bri&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_pul&neo_gra:neo_mar	
0	9.19994451474522	1.58363580066875	0.753279299973967	0.906036484294487	0.803502901660663	0.727430232812994	0.994587052114401	5.85203621564958	0.926132440324275	1.02391582612533	1.40327443915441	1.82895911005853	1.00750776585182	1.41954394367816	2.14578034441657	0.975211043994432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19999199079659	2.43095951760885	0.815327120481509	1.53661839823931	0.834089530948306	1.32745549190164	0.94616425225131	4.07205123080858	1.92839384529546	1.8920544433645	1.39129662836577	2.62146921712401	1.88480833746024	1.92115884402989	1.70494803600461	1.84934221234304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116658024917781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111563420261097	0	0	0	0	0	0	0	0	0	
2	9.19993844990819	1.97901780827246	0.617530372477279	1.58914673626615	0.700744528847766	1.45546113825591	1.02853780785284	2.50781240982572	1.36918451360852	0.489705908237904	2.45686986463294	0.448490503846637	0.602491435877331	0.686491077484722	0.412911486675439	0.785141246280768	0	0	0	0	0	0	0	0	0	0	0	0.186764788696674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195663169129396	0	0	0	0.397230125441386	0	0	0	0	
3	9.19994770110931	2.16977595542759	0.826363182994869	1.4524082957604	1.06034320042471	1.10912016724073	0.843449033855431	1.89707195126129	1.49823708476233	0.927747338395569	1.17144720022856	0.604805134506516	1.14823677747098	0.987876317150015	0.451233995028775	0.83662549898529	0	0	0	0	0	0	0	0	0	0	0	0.311704919947424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202370820765631	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199015947532484	0	0	0	0	0	0	0	0	
4	9.1999047524613	2.40379600967566	0.786813458323586	1.73056159960818	0.896932884979127	0.246606137202347	1.03647500666341	2.97229316901962	1.62129618294094	1.05783008343538	0.663856927048168	0.778464716826429	0.864267736022763	0.707850492827315	1.34925619490057	1.03585408509521	0	0	0	0	0	0	0	0	0	0	0	0.320011244329077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.329315591060477	0	0	0	0	0	0	0	0	
5	9.19995534003571	2.06497261306543	0.965933318019803	1.27503119082496	0.975482282412833	0.831301617490622	0.938428272992138	1.94405797663979	0.697992129877684	0.82198238918733	1.04959901651651	1.27901701632171	0.452985908146251	2.51255429723439	0.740042628928166	0.732747608951766	0	0	0	0	0	0	0	0	0	0	0	0.0898566315483152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0758578293263426	0.0081055037929711	0	0	0	0	0	0	0.250753299773444	0	0	0	0	0	0	0	0	
6	9.199923757722	1.9649009510776	0.185864906150577	1.13393889059012	0.189976576067176	0.775121301427949	0.903830814238361	2.89085933811947	2.36711180882791	0.568322359096161	0.987074416405305	2.26091285661684	2.01974365621547	1.45922332854061	2.39389541095189	0.56112357889413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198156096458997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19993300802263	1.96806121506141	0.398469591512883	1.00153088148523	0.415851822007395	3.82161817814055	0.886415132870872	4.29427032790845	2.06020510983769	2.73420240786328	1.3376793927774	0.628325709903381	1.2703394033016	1.23543501692824	1.78250289940009	0.758331451875628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.425177626526396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19997036080322	2.02830494083349	0.665418743837278	1.5638187715243	0.974846621022463	3.65577123139415	1.08482393702648	5.24425514882	1.00177072745544	0.541456802673199	1.34126918419859	1.99263068027993	1.25816502544566	1.00173472375184	0.982396736613321	2.03994659129815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263966473588733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19997376705014	2.11068135260177	0.847231781540288	1.37428270312062	1.0558353647433	1.61784062443689	1.06391050801845	3.9978143207407	1.13965940936754	1.07054356124857	2.50266561537987	1.97782968974311	0.520107076436646	1.86615740249932	2.24198506443275	1.9153230089963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.757872220682917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	9.19994244686796	2.10475971076371	0.460098842630614	1.09675190087733	0.82300741113752	1.23164426362002	1.08841937714031	6.08061637896748	2.9267503474023	1.44477432452174	1.504743558959	0.869568642134469	0.766967656477486	0.627245715578096	0.823831230789612	0.878883030116397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.527329165534783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	9.19991818447022	2.17524217988555	0.939130552926409	1.48613409775035	0.972298238503269	1.33843599544617	1.10906206129505	3.05551992946439	1.63692753611939	0.500293769621502	1.16428699591024	2.31243701500339	0.854620185367855	1.13333895601161	0.909174070216174	1.68885167903864	0	0	0	0	0	0	0	0	0	0	0	0.172299784289631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	9.19995201160085	1.27556550329031	0.853266499828472	1.07520208680364	0.862066360910243	0.482077125418582	1.14064412170444	1.30579385278623	0.861517212856096	0.564059434105608	0.709361314352076	2.06306355035445	0.662140207212439	0.661057315018774	0.553839607093478	0.503143834795283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0465216350042911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19995276741905	2.03574579384772	0.492117710539822	1.39770653036176	0.63366528676927	2.35238137669327	1.26859727840289	3.49328239648839	1.35242982597582	1.21066139536675	2.33302082104426	1.66062011813116	0.938574050087783	1.20701307505908	1.19797708268209	1.47305339330749	0	0	0	0	0	0	0	0	0	0	0	0	0.53774093691665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	9.199916817065	2.0438149796685	0.119267293366798	1.19993218990215	0.346955246300344	1.26028625134374	0.900036742696616	5.28295283417992	1.160458359332	0.597031406762578	1.31081264055643	0.450013437078558	1.72170313244345	0.548730472103626	1.26790880934603	1.28038458149617	0	0	0	0	0	0	0	0	0	0	0	0	0.559307151929764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	9.19998185563431	2.10727086860975	0.406639425544207	1.15572867268404	0.461330383329717	2.49185540706248	0.867358860165804	4.27041468526287	2.91659101700158	2.73734424643702	1.5419927541162	3.29959493352691	1.42383125258948	1.35175074694459	1.42245797960571	1.13821630261435	0	0	0	0	0	0	0	0	0	0	0	0	3.20312028703504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.19995224372095	2.05066034581624	0.209910523580314	1.21247999172848	0.309214786695202	2.1074765213033	0.90965943118819	5.96374108519859	2.50556974855581	2.46430317390993	1.40364059790674	3.23224978551957	1.93878134370113	2.82257089972478	1.32113285009512	1.24434987469586	0	0	0	0	0	0	0	0	0	0	0	0	0.461295931888383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
