sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_mar	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_bri:neo_mar	Ne&neo_bri	Ne&neo_mar	Ne&neo_gra	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_mar	mig&met_zeb&neo_bri:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_mar:neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_bri:neo_mar&met_zeb	mig&neo_bri:neo_mar&neo_gra	mig&neo_bri:neo_mar&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_mar	mig&neo_gra&neo_bri:neo_mar:neo_oli:neo_pul	
0	9.19994512803289	1.39312759101545	1.39257371037739	0.752913665721733	1.36115461106781	1.26743308514244	1.28955997164544	0.80252408382832	0.424300421684764	1.12874509363072	0.531168951188011	0.88844788365627	0.780680734190602	0.923934372503123	0.814611312056262	1.18783647212653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.646570468697877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19990381358126	1.70514336391596	1.67108671634238	1.00351747964571	1.43326302582321	2.61807051318959	1.39613809451766	3.07730600947438	0.970935736477727	1.19920453759958	6.00342081161372	1.95686371497887	1.95711565383792	1.62253138375078	1.61791253618192	2.76767419468196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19997576745694	1.97688805080766	1.85395941124566	0.139281399925163	1.67282456046777	1.20743720858757	0.876122303112397	1.88182811427366	1.98226995334945	1.76236474089461	0.932816247664808	1.49308047893478	0.993177052671346	3.60687738516671	2.85053425888169	1.35003792161065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58665573444104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.1999671340027	1.73517195816327	1.66929372488802	1.00991942911887	1.63924643045436	0.164042876080295	1.11412533501475	0.689252772917133	0.506179089548078	0.501852540979826	0.915104445600701	0.609317517406799	0.836699265508575	0.582247709922567	0.525066086165698	0.944081796553071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307417036846658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19998953096906	1.62006854269251	1.34905509525075	0.691955477013731	1.32369790131875	2.98249083375809	1.0945623465068	1.58055098566414	1.32079157825008	3.06341266707451	2.2084008764787	6.06462309192648	3.73684462853127	2.86941383210502	1.7962118466566	1.50442740024517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.1999879393559	1.81427739657611	1.76018332251008	1.20031307650515	1.70970377617003	2.59134528533632	1.03676185987091	0.967953899743229	0.440351598297898	0.986335795981336	0.375571018641183	1.1268289772967	2.47375760055831	1.39411062937113	2.04457734789774	1.20090415623999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103871737065544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19994751486084	2.05854266433911	1.63119075380917	0.304547271568167	1.60039673251873	1.26347810002038	1.32648719363822	2.81543209245517	1.59090438379507	0.586224663730599	1.23766432890058	4.24553459277358	1.344726360604	0.311939810948136	2.68108536629541	1.69948914035393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19994423063114	1.85515245595149	1.80617790486482	0.740886011594784	1.80495308517944	1.06894432395684	1.0622984102777	1.300256658619	1.07354155597301	0.834736513372279	0.655903175460322	0.463538654742804	0.598263328539761	0.957648051520394	0.470900532215023	1.34905188928366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27953498074551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19997211146729	1.48180651004791	1.34038156846688	0.434907761746065	1.25908955110561	0.979152092213544	1.09484209522452	1.29762760414625	1.0986633581154	1.05061539345799	1.93484136192278	2.32280502374182	1.60452106835663	1.54438133067433	1.69724902195113	1.14190757727365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19991006658269	1.67811626854571	1.66343874326718	0.496233518457056	1.64255169770189	0.581924609441855	1.23656517346783	0.694831630476504	1.14149308218678	0.487859969437033	0.535829494764173	0.7335400095916	0.518976380353442	1.12435708052606	0.922155878650758	1.44063360614949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321980675762184	0	0	0	0	0	0	0	0	0	0	2.13473702357109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
