sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_bri:neo_mar	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_bri:neo_mar	Ne&neo_mar	Ne&neo_bri	Ne&neo_gra	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_bri:neo_mar&met_zeb	mig&neo_bri:neo_mar&neo_gra	mig&neo_bri:neo_mar&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_mar	
0	9.19996864659495	1.80113025868638	0.558910434234178	1.6411449972693	1.631756957428	0.742037141513158	1.21899640050369	1.26089392098943	0.807867415624613	0.626374307138786	1.12487109231738	1.4290486131119	1.39246222549618	1.28521052678937	1.34778061685915	1.1477789980184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.596047474196213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247545495097083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19993220556092	1.6486297246424	1.04727373869866	1.44242700787745	1.09092823685916	2.00883670225182	1.11634055500403	0.584347343900956	1.50252285687014	1.69338373002917	1.58155543201025	1.33251664905019	0.68577321344219	0.455977440851489	1.46900904378663	1.62845328570688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154538009608271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12381687168051	0	0	0	0	0	0	0	0	
2	9.19990052341527	1.9198909640084	0.6059358685329	1.29246075260894	1.15795441824577	0.959080453706693	1.10407820241556	1.48697871004248	1.43416484798849	1.42568293576593	1.99123064098964	1.7483091624431	3.65042791494388	2.40025133820069	1.94016908361454	1.85557102682444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451416623119627	0	0	0	0	0	0	0	0	
3	9.19995692140445	1.72479501484781	0.818780711599755	1.47719020968912	1.46662744306168	0.404087527119536	0.97457046542148	0.717961297478366	0.480466854662541	0.65268732778856	1.09158735180778	0.95154294725908	0.863306150221498	0.381467384278237	1.51679506596176	0.813972517867497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157334575506113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43805305284844	0	0	0	0	0	0	0	0	
4	9.19994174313238	1.62864120692973	0.968472576714751	1.21788890860733	1.10106359539275	1.44373909332645	0.954856971477242	0.593428278358725	0.745729919123626	0.776928421089365	1.72726775006284	3.09338375715751	0.473895114364614	1.02290516755631	1.17225944468939	0.487087890419815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0224848991633508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198392458465191	0	0	0	0	0	0	0	0	
5	9.19990266628077	2.41350909219778	0.578726580093321	0.977316550567506	0.937586830598964	1.99698688859278	0.764862817245308	0.827207856072779	0.803753858249775	1.1824246926616	2.45285369957257	0.765820716952309	0.580448064708602	0.671357318926275	1.17520706186888	1.30291816489373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.505185785316309	0	0	0	0	0	0	0	0	0	0.190143126534291	0	0	5.14131567130074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19993720356357	1.66022750634036	0.934727192738802	1.33752656691746	1.22916502130523	1.15919335906298	1.09647285917573	0.63282164270083	0.597006949128719	0.452049454572545	2.34412972319229	0.90659969653594	2.57172275543412	0.47735244239179	2.41839847915277	1.00442775028128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164615921286494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.199927463184	1.91483918117928	0.842446838273816	1.11816008452525	1.09710830979138	1.56148400761436	1.10002101000545	1.26966352801592	1.00479622761562	0.711964608473421	3.08019407096797	1.73031505276	1.45566888963096	2.20832983090344	3.1972416585944	1.39621670782463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020021269105122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294182180357642	0	0	0	0	0	0	0	0	
8	9.19998629220724	1.84971641107429	0.776850278177149	1.52937649743874	1.45306320837263	0.626651190376588	0.924873881528684	0.805398105503528	4.27482786447583	0.960054931365476	1.76870194798967	0.710313851716769	1.17220959130908	0.403679338954918	0.752099744984224	1.18806930512648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313647284865611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21561753284169	0	0	0	0	0	0	0	0	0	0.0434979463403553	0	0	0	0	0	
9	9.19992170649731	1.78524174935128	0.494742600836033	1.56463938778383	1.56218436033115	0.745248594061843	0.867713926950191	0.783275523496744	0.615224379216398	0.495812166814684	1.16621903634157	0.475890294308548	0.934493435046552	0.39468185573572	1.59277727231206	0.895525822441018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229638146296149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024994359648641	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	9.1999490763989	2.06626993414224	0.907359327576822	1.07672002883809	1.05055264198597	2.04024681488551	0.865912481095789	0.788778187932687	1.63981876273972	1.05557803324196	3.45159207664071	4.53276529345243	1.09083777956186	1.85093776981056	3.52305041504396	1.30987132309805	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514071564320716	0	0	0	0.152918196145918	0	0	0	0	0	0	0	0	0	0.288598826179394	0	0	0	0	0.0543372341467319	0	0	0	0	0	0	0	0	0	0.60419376505019	0	0	0	0	0	0	0	
11	9.19994729145387	1.86769491539477	0.360226726385461	1.82723936024817	1.80556257583609	2.39482067406235	1.10494307675821	1.61869268833526	1.85386787433964	1.22991716588086	1.39478442406252	1.87409029574252	2.61146386839807	2.27897612719348	0.980124675286391	1.02534542901024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321245501585426	0	0	0	0	0	0	0	0.00946370144512062	0	0	0	0	0	0	0	0	0.418588495779888	0	0	0	0	0	0	0	0	
