sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_bri:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_mar	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri:neo_pul	Ne&neo_bri	Ne&neo_pul	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_bri:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri:neo_pul&met_zeb	mig&neo_bri:neo_pul&neo_gra	mig&neo_bri:neo_pul&neo_mar	mig&neo_bri:neo_pul&neo_oli	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_pul	
0	9.19998380201978	1.92757003176661	1.70637890486576	0.853342489429235	0.458196161751665	0.458610595315175	1.00935016227017	2.37443974919411	1.92941286075541	1.31846673469052	1.63672237351328	0.853045552823396	1.56872900989639	2.18108278886011	0.790449728439264	1.18597297206939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1638595781846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394832983273376	0	0.45690023708841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19991127842703	1.81750694903538	1.70565889887933	0.79665383236788	0.354024420887014	3.12747596666384	1.24964978695419	4.54228157038553	4.54195315251528	2.06496608403719	1.82719712984512	3.08157545483038	2.00165088603581	4.35970036718115	2.1950840007968	1.11742694003356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0912875000950451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19993639571985	1.71403956954554	1.6383815227411	0.992070945919333	0.901649427375439	0.878895099188804	0.922557090289907	0.991554196709179	1.15268785157768	0.75482356848088	1.81843788140359	0.513592823388089	0.540789167528995	1.08765011347234	0.65471871028141	0.552011494289601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204061774556253	0	0	0	0	0	0	
3	9.1999990524511	1.75233221497674	1.29508624556008	1.25247080057336	1.08812695435685	0.932833749687638	1.08525411176292	1.71287505989461	1.94428706950287	1.5857642620042	1.52265162160413	1.44380957533715	0.956986296123967	1.28597808504587	0.889100155999758	1.16572299742833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089580356590425	0	0	0	0	0	0	
4	9.19992195476804	1.65810534522543	1.62932438108537	1.61020470403819	0.681631182953703	0.728226585134872	1.07332090952365	0.637920701734563	0.778783018267189	1.07254898041832	2.78626591691913	1.24108296654809	0.693749072714203	1.04127434598708	0.300623006139843	1.10026158605249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070518447271619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433399224445614	0	0	0	0	0	0	
5	9.19996512532054	1.82613483058362	1.40900084727816	0.926158231440688	0.56337047883832	2.42304529970959	1.2674737125604	5.8504203814846	0.977010830998665	2.22315341741907	1.56825642030417	2.72099736476144	2.0680651571865	1.44968111225823	4.7690200269578	1.91672750830196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203163740727235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19999973986246	2.71713783849201	1.90571687700271	1.25431063026016	0.662022313004804	0.750298713168851	0.79894223767846	1.38178255565907	1.17792166903281	0.321811297512357	1.18657502797032	2.63155495351426	1.5944694748037	1.91459523485938	0.763615536054675	1.72440016298391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0150215113364021	0.428981097887845	0	0	0	0	0	0	0	0	0	0	0.509777445788045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.447893417971564	0	0	0	0	0	0	
7	9.19991083298	2.68276643971559	2.45293424715736	0.663633967938081	0.58234809572643	4.25690452861084	0.935368131386503	0.797417495338867	0.957221237676211	1.24650548429265	1.62425142734535	1.31055677429726	1.28380765272628	0.410464182750381	1.25655678544351	1.41426798181479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.347256886230774	0	0	0	0	0	0	0	0	0	0	0	0.162357919364712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105660717305737	0	0	
8	9.19995082797047	1.82281680250042	1.6701862412189	0.957682513534495	0.493118666216943	0.412827039470509	1.12897134423818	1.24168763397559	2.25665892278668	2.3162522122307	2.28587526634131	1.94749465816959	1.09499790845092	2.76298122019128	0.819100249354378	1.51074673704724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16443311367681	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19990241835409	1.91770683473922	1.67917431860115	1.06681177929605	0.829491011258208	1.04355048766846	1.04216396138688	1.52486806633087	3.67758376919325	1.23280101111787	1.98557063416209	2.76277707493165	1.42586744183797	2.1485551754109	1.27694971486496	1.81266124031092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0662419039460753	0	
