sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_mar	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	
0	9.19999164098944	1.91913425806478	1.35040264691651	1.36505769797038	0.61049362810498	2.210586808318	1.28638416703211	3.27189133289527	1.24392051673031	1.47562836956876	1.84621920349948	0.881669109554943	1.37440865416015	1.90235523272655	1.76497187831685	2.56610272582029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134080585217237	0	0	0	0	0	0	
1	9.19999978807276	1.90908404761725	0.934425308744367	1.47378978673863	0.628933281667216	0.3969281031596	0.847757583079497	3.08771696359897	1.50008606340461	1.25007191136417	1.0166553827514	0.530257385623846	1.03061357037796	0.73501249723782	0.624183002174706	0.702461083659452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058245019045754	0	0	0	0	0	0	0.147016296683615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185678696056658	0	0	0	
2	9.19993831709127	1.77473952770777	1.35378878435824	1.35506679330293	0.588402666774321	1.3401196372159	1.06944827828836	2.61569657586357	1.28633632053404	1.3287551727777	1.19154200731576	2.5695846966196	0.898963893511776	1.17144253445214	1.62571730959573	0.974595033539511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.1999868255374	1.94445383006961	1.09697130398719	1.52603650621218	0.477563778263505	2.76406744447132	1.17688915692851	2.21738355463772	1.78672140934781	1.63376265584653	1.74076312763254	2.23049118807502	2.27783982237031	1.71154666079819	1.36569425737005	1.81963388236819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185734134088422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19993822734265	1.96903177978592	1.18751237876133	1.4982034497725	0.0740931263464604	1.92618622491278	1.47302995578958	2.96348914474042	2.18279036176604	2.20728172658043	1.64805946510303	3.7005499798621	2.22373709006488	1.92539073195338	2.41282753529797	2.27148850100837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.567390705257059	0	0	0	0	0	
5	9.19998087915918	1.9466576138049	0.65510292383507	1.45431558771898	0.606358008774587	2.03841463687301	0.966777846130442	3.3285834753388	5.93203512033811	2.77051544748636	2.25724673927399	2.2035083081361	1.32834402979708	1.48313323531672	1.50192010995121	2.33918945363469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19993171188384	2.08351634554531	0.960649456967203	1.09880480125843	0.0433647163026316	0.73800306609929	1.23936933390773	4.68080611297932	4.5307821446833	3.05892670821546	1.32402038800088	3.94363256366248	5.26340171481725	3.46140963218158	0.80268956896481	2.72459867851063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8890931478201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19994230700553	1.68857402839927	0.439642370529179	0.929550362452908	0.412979524035634	2.06759324261805	1.30133705071214	4.36182484281117	3.68832118979315	4.25957586316883	2.43855869555547	3.82018952435415	1.69219206949806	5.21188218572262	2.98837135994056	1.38146895373803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19996583912715	2.28011637886564	0.985670622638308	1.61836958582014	0.0445795000270718	3.47126425118375	1.15388234199353	7.40827130196713	3.82318186887403	4.5332336473664	1.63995380427525	5.6481619832015	2.89471089312696	5.29748365123393	3.37803282070296	2.06013270489227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19990753228907	1.96427205931845	1.20583986426034	1.58230591486397	0.420657665125491	1.09593327071421	1.26442818508026	2.48633369181597	0.852795572639871	1.38835096062744	0.977258993088484	1.32371420422328	1.32179940212319	1.52074330587447	0.797304840829155	1.58970108402091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161521602107337	0	0	0	0	0	0	0.068237516589542	0	0	0	0	0	0	
