sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_mar:neo_oli	height&neo_bri:neo_gra:neo_pul	height&neo_bri:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar:neo_oli	Ne&neo_oli	Ne&neo_mar	Ne&neo_bri:neo_gra:neo_pul	Ne&neo_bri:neo_pul	Ne&neo_bri	Ne&neo_pul	Ne&neo_gra	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_pul	mig&met_zeb&neo_mar:neo_oli	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli&met_zeb	mig&neo_mar:neo_oli&neo_bri:neo_gra:neo_pul	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_pul	mig&neo_oli&neo_bri:neo_gra:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_pul	mig&neo_bri:neo_gra:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_pul&neo_mar	mig&neo_bri:neo_gra:neo_pul&neo_oli	mig&neo_bri:neo_gra:neo_pul&neo_mar:neo_oli	mig&neo_bri:neo_pul&met_zeb	mig&neo_bri:neo_pul&neo_gra	mig&neo_bri:neo_pul&neo_mar	mig&neo_bri:neo_pul&neo_oli	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_bri:neo_pul	
0	9.19993851347017	1.57067805028824	1.56506240821778	1.42423578183243	0.544757632575752	2.27255567001257	1.02577879920727	1.26434928802341	0.486303222366836	1.64298290764143	1.94965465914569	1.57150416531512	0.766779047056437	1.20007736127008	1.02997097178519	0.82130792141629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606846660919454	0	0	0	0	0	0	
1	9.19993803836533	1.66822470214181	1.58444628482665	1.33131869614928	0.973699907698429	0.232873919642147	0.874952952045364	0.887944817515196	0.314128265202421	0.424638306246856	1.3734904860734	0.388374829334482	0.848227861412915	0.640744364262909	0.746387603382375	0.730947725386811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148000493467975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360444844003911	0	0	0.0370522897733613	0	0	0	
2	9.19999698345332	1.77525606648974	1.65161019583457	1.24884117281312	0.774694297400456	0.581987625824689	1.04825117110917	1.14248336694293	0.409571293417313	1.39863540015353	1.75291791564044	1.06304766810467	0.396314155867217	0.702272509761065	0.592599887166529	0.736452680779586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366373760098821	0	0	0.0299740491634299	0	0	0	
3	9.19999444245883	1.58980296447705	1.54950084499892	1.54163008601788	0.601599027989959	0.783328719651312	1.21487255029831	0.742915474766876	0.928106972203749	1.54895159687982	0.494193461834616	0.903796268451407	1.57668200154027	0.906246036395434	0.738873412927439	0.745818787106374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.673898558844143	0	0	0	0	0	0	
4	9.19999728696185	1.92924371806374	1.62614632687579	1.49160363911664	0.825155368084237	0.568605068403842	0.894917150308236	1.40017834996087	0.548055690112749	1.08399929233733	1.95470444162807	1.27011176425218	0.401831413239073	1.51718057657013	1.99670236373278	1.67011672452037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55233918419885	0	0	0	0	0	0	
5	9.19995274928054	1.57774606208029	1.55373498687299	1.33807989698587	0.656989620006634	1.55483015245305	1.26800223819867	1.47371097917959	0.723105856537562	1.39410795362701	1.48801591014405	1.40883597953825	1.5750436498111	1.24827938282131	1.11065770358062	2.11431178355288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.621497644870619	0	0	0	0	0	0	
6	9.19999374937536	1.73074650352138	1.59926018208527	1.36182733944117	0.894432725029726	1.34392452521414	1.11051369005548	0.781490049025958	0.211824093173687	0.533585657693313	3.11707335761946	0.475457382759533	1.8091031144578	1.39383242787154	0.350181493977202	1.15543536250757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0623066144582476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1716535660464	0	0	0	0	0	0	
7	9.19997944305892	1.94983732152113	1.75114816330429	1.6498001146999	0.834797931230221	2.23952464423256	1.00316466263227	1.2438038952259	0.469619120818085	1.89707327805378	1.21340558519563	1.06176234113298	2.81133299675759	1.77759481231061	3.52952457167475	1.23556088983256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328391337444022	0	0	0	0	0	0	
8	9.19990230918136	1.96236957975062	1.48708467311356	1.1966375104861	0.842104495110123	0.521071903373975	0.928943482429122	0.999805324136244	0.417361889817412	0.537360243910171	1.16566729436045	0.341650615276845	1.10068142364278	1.32500143946518	2.31511320758947	0.672996227308553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0385968978075117	0	0	0	0	0	0.326415791692724	0	0	0	0	0	0	0	0	0	0.478451633676881	0	0	0	0	0	0	
9	9.19990481896463	2.25192130656096	1.97998710402108	1.87394148123315	1.11340384057013	1.83811471069179	1.00681284712571	1.23713119198299	0.377258826147213	1.20435965709607	1.63645445207135	0.620691443612251	1.37188322589504	0.476868857198299	2.1348378844968	1.75880328563383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380878684603214	0	0	0	0	0	0	0	0	0	0.336961124543583	0	0	0	0	0	0	
