sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_pul	height&neo_bri:neo_pul	height&neo_gra:neo_mar	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_mar:neo_pul	Ne&neo_bri:neo_pul	Ne&neo_bri	Ne&neo_pul	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_mar:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_mar:neo_pul&neo_oli	mig&neo_bri:neo_pul&met_zeb	mig&neo_bri:neo_pul&neo_gra	mig&neo_bri:neo_pul&neo_mar	mig&neo_bri:neo_pul&neo_oli	mig&neo_bri:neo_pul&neo_gra:neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_oli	mig&neo_gra:neo_mar&neo_bri:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_bri:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_pul	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_pul	mig&neo_oli&neo_gra:neo_mar	mig&neo_oli&neo_bri:neo_gra:neo_mar:neo_pul	
0	9.1999652285142	1.64186657243224	1.4970291317527	0.660104426151278	1.35411154726122	1.18862600682115	1.1856612889216	1.45682304234262	1.4267842141669	1.02032486579552	0.393600895439677	0.67004794931535	1.89434990745808	1.28037380286821	0.421204761248644	1.38502579012302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312487039203312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19991073709448	2.03906714311522	1.93269033691978	0.967863777652515	1.68492301385202	1.9461642284765	0.92472073175593	2.21962310313095	0.884989438164857	1.24414579894537	1.21240851877719	0.943822517139587	1.1564164570072	0.96777306748814	1.10422464646573	1.66231910573578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.434056288893495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19992886874011	1.79916884509046	1.2942942597296	0.335553166345996	1.14597990019876	3.30112359480909	1.08201863090193	2.53134021365535	1.36708723552876	0.812740918988494	1.32434692853851	2.39981571259545	1.00709683674979	2.8130170737929	0.61245529939166	0.939485619356596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07845136918415	0	0.352542040509395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.1999339158385	1.88638464275046	1.44961490281176	0.685609191833991	0.818611053836504	0.799660750950301	0.896312833993005	2.28265655829619	0.964278691484375	0.441600648103392	1.36471541111183	5.24237611747164	1.97393277144795	1.9658001590299	0.429862438534187	1.23173454723163	0	0	0	0	0	0	0	0	0	0	0	0.0960347396582912	0	0	0	0	0	0	0	0.0246231747405619	0	0	0	0	0	0	0.683172816826681	0	0.108093290099725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19996920589669	2.09029966573939	1.73542267835389	0.635971604790639	1.16965603363777	1.59334435277182	1.04904166971659	1.83717061558071	2.07742532196093	2.80776675591673	2.04251924561757	1.89933541416751	0.356331424241019	0.90102854736003	0.845227925205817	1.07385733231861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.533535873144859	0	0.438508346062605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.19997153895543	2.08710242277567	1.33630450774198	0.597462121524035	1.30088361810223	1.07546979476387	0.806501755478232	2.2770164863261	1.85216419912552	1.63372045522108	0.768792289336733	0.79570613804826	1.01545844316382	0.87093413650375	0.472102169212556	0.411333564237719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414480362874295	0	0	0	0	0	0	0	0	0	0	0.473371158095648	0	0	0	0	0	0	0	0	0	0	0	0	0.0621407380235983	0	0	0	0	0	0	0	0	0	0	
6	9.19995098667787	2.18169949142536	1.42387324603913	0.880304926698762	1.40037887569381	0.402802106821272	0.663111811080513	1.29451159465189	0.817532592736548	0.715250705416207	0.484924901628195	0.59413925733579	0.284800134211268	0.792546637852092	0.262918302744112	0.394321305167007	0	0	0	0	0	0	0	0	0	0	0	0.524105908992952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296994055130359	0	0	0	0	0	0	0	0	0	0	0	0	0.0731210948501578	0	0	0	0	0	0	0	0	0	0	
7	9.19992547005192	1.93788246492349	1.20445224393684	0.829561794558992	1.07357854860839	0.74342125273421	0.804173214961103	2.31445481347688	0.586548072635623	1.01834569757294	1.36868956275926	1.06083669040434	0.2699621608901	0.493049179256529	0.346934803134933	0.398481811570595	0	0	0	0	0	0	0	0	0	0	0	0.488646646005588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.461187366498817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19991999464247	2.54382394604668	1.55360754530737	0.994158008352252	1.24951712841231	2.95035517697476	0.881601443161897	2.58461096483168	1.22490735309369	1.22384135170818	1.76899606191752	1.21480477156131	2.10704396784123	2.77091918810058	0.25364743592422	1.36520757042117	0	0	0	0	0	0	0	0	0	0	0	0.380741767692462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256189233488103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19994043764484	2.76183107682956	1.46722646754017	0.989229987345414	1.25234017682887	0.88646542459789	0.885618585350252	3.00152918372573	0.537548594047148	0.553438469468711	1.23236342861936	0.76572058760079	1.09866552883344	0.557210537824473	0.357106956856928	1.86801914172173	0	0	0	0	0	0	0	0	0	0	0	0.260458791571335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398320100992281	0	0	0	0	0	0	0.012910155810921	0.0699120905137563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
