sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_pul	height&neo_bri:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_pul	Ne&neo_bri:neo_pul	Ne&neo_bri	Ne&neo_pul	Ne&neo_gra	Ne&neo_oli	Ne&neo_mar	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_gra:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_pul&neo_mar	mig&neo_bri:neo_gra:neo_pul&neo_oli	mig&neo_bri:neo_pul&met_zeb	mig&neo_bri:neo_pul&neo_gra	mig&neo_bri:neo_pul&neo_mar	mig&neo_bri:neo_pul&neo_oli	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_bri:neo_pul	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_pul	mig&neo_oli&neo_bri:neo_gra:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	
0	9.19996122367335	1.92515246243598	1.74542565173091	1.26045131419619	0.730401958160073	0.487828923823478	0.885974713854568	1.68422070054889	1.60693221612146	0.627137793349154	0.810895299524349	0.539675101896473	0.684109257101772	0.276484528810508	1.08380132672791	1.21709050067371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.501666026902643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19994460821434	2.58420457560931	1.25023228464817	1.15459534837159	0.758399782625013	0.342299706166986	0.761954246522179	2.05302130646652	0.799279535089384	0.887575356339636	0.242660084239913	0.64947187525505	0.702502930326179	0.30172444074165	0.318542046145483	0.835736554388664	0	0	0	0	0	0	0	0	0	0	0	0.317068427632539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234791067560132	0	0.378634408769255	0	0	0	0	0	0	0	0	0	0.0219609851592878	0	0	0	0	0	0	0	0	0	0	0	
2	9.19995090585647	2.43305930173634	1.39482341373768	1.35302663119777	0.870085092045755	1.02544361406068	0.902720329234927	1.78137836516757	0.398588228470052	0.680106461889232	0.573271565873413	0.815605236433563	0.462289589401581	0.485797758614842	0.232462229751497	0.654867235722715	0	0	0	0	0	0	0	0	0	0	0	0.225280107964192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403214783940009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19997489601347	2.11617264536457	1.48611516895402	1.16668890063487	0.249577782985347	2.59909746633076	0.983145187538763	3.7113154816945	1.27427258106923	2.27832778701064	1.22489816832041	2.71726483636425	0.941506793045174	0.917223126247858	1.15031269107939	1.53508984023203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.838427651788144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19994757464606	1.83663936884164	1.76611790986786	1.39094945973871	0.751451399662593	0.563377555985756	1.02508511594478	1.10871705971307	3.01182373486172	0.821134370077844	1.2270869478766	2.0801767314541	2.69826337019687	0.44161663277507	1.03249232572193	1.18165551921506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58462325858619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.19995102153055	2.16718757286898	1.77000903207834	1.66315414460083	0.727043471851939	0.758050461518308	1.01460443106846	2.65986837801152	0.915281422296615	2.02061576129558	1.17754975761087	3.18947040659543	0.576645303871731	0.494918566375554	1.71641354092036	2.11513639798281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.490118085936727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.1999802580557	1.97032048898677	1.68412688581173	1.40840640658434	0.840929296026191	0.444701620519023	0.870571628909577	1.95480833669235	0.738799233854735	0.530786716336794	0.478305048165178	0.226482627677173	0.312488745923414	0.28619420911898	0.701618447216975	0.612615177334569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325386452249782	0	0	0	0	0	0	0	0	0	0.325753242188998	0	0	0	0.0118131263408557	0	0	0	0	0	0	0	0	0	0	0	0	0.0133841059228062	0	0	0	0	
7	9.19993056963553	1.86721780381184	1.72503484427639	1.51665411837224	0.660421543945885	2.7604331572492	1.09449056638464	2.08276149478925	1.83370884596417	1.56141179920276	1.99304166322195	1.00773181376316	0.436425678328203	0.622314344912124	1.66078933183043	1.37991451781183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.489098932648977	0	0	0	0	0	0	0	0	0.010311854665433	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19997917820227	1.7633750312319	1.52269597757293	1.48430466180718	1.24301736734632	1.72777578635681	1.04459739827493	1.17705607714161	1.38362875038305	0.519901951949143	0.631227982098555	0.457424894663008	1.23679601197239	0.536277694959091	0.289732748411119	1.48120900931356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378358148069238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19995545586722	1.91453890774868	1.84157782988303	1.48732314127443	0.755557412685321	0.817392705615348	1.0075201775698	4.62168715828128	1.14880948572025	2.29899783901686	2.88346043407811	1.68866254162453	0.904448390915383	0.826916636667509	1.40377119012695	2.0718223715638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462708708401164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	9.19996733126637	2.04336469528458	1.72792511844786	1.39342755135413	0.542159636880963	5.15257660414347	1.1690607166564	2.4043738953135	0.981127407559154	2.0712761124735	2.12199961401226	0.80992564311443	1.85331402898094	0.742227157407812	2.47426297235717	1.6287509430103	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0377699119601377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584087447138391	0	0	0.0509121656485471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
