sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&neo_mar	Ne&neo_bri:neo_gra	Ne&neo_gra	Ne&neo_bri	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri:neo_gra&neo_mar:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	
0	9.19993407307782	2.23306713996171	2.09807464994755	0.84537368757409	1.77615502001279	0.646804966572543	0.927332682781138	1.13314268965387	0.749437152503455	1.7306069486626	1.15606796987711	1.23975400983581	1.41651531871086	0.411350687583595	1.00367697855185	2.21403808928536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.570111585073901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19994314447271	2.03814771154272	1.89865284845544	0.905439606074448	1.30122781986094	0.869226506757627	1.2822296890045	5.36373387121515	1.11580718622998	5.72676636911152	2.67879238499792	1.28279757188076	1.97555570223907	2.6681251373354	1.41336652469407	2.88673128113952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290156917217457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100762935576916	0	0	
2	9.19995252527993	2.24380851197022	2.16434887497132	0.545436802106216	1.53637369499917	0.485221386471996	1.10225534049006	0.325209174649064	1.14038698671377	0.622315687878155	0.79811511686905	0.837332864024483	1.6530046885523	1.00000821581474	0.773317447458803	1.94375445644281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5359512428701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19995400717954	1.73449873840057	1.61583398204993	0.342250178880169	1.34072324072801	1.8234034968322	1.32660310761031	2.32733345770802	1.11999874741275	2.11012115626728	4.03594234439071	1.46747438825065	3.01759128116952	2.59428628036141	2.20747870451553	1.67040945162994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.579934287537446	0	0	0	0	0	0	0	0	0	0	0	0	0.0185429412627306	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19994719138076	1.88452455064216	1.87687998647223	0.952578579517089	1.23521905488885	0.63023792341902	1.11574529641131	0.618775408020802	0.847982210849607	0.524918500544672	0.154503924851619	0.88510097266327	0.919503336073308	0.233127703303566	0.773289508016649	1.51305840118002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224024657638015	0	
5	9.19992979438978	1.69901815850979	1.68392579515625	1.00537190533351	1.6509360947156	1.35421516602847	1.09148500012631	0.720029058716756	0.606444097049614	1.12334274972722	1.09081125505934	0.707406966515306	0.847921479837811	0.988579243302348	0.840880682730896	0.909362153524796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233022123220155	0	0	0	0	0	0.105402372367522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19993353011712	1.79571288798747	1.74531012610375	0.232221021658216	1.65139128621646	0.445123806551231	1.050272084477	1.53574414570846	1.47120421988351	0.645997096751445	0.419169529642867	1.52935279808659	0.721681791653926	0.815186789181351	0.920295554336133	1.31300769779797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.581941451957814	0	0	0	0	0	0	0	0	0	1.03973056250461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19996675260207	1.67245302873208	1.61213499473477	0.763609815083127	1.2915135115495	0.423420911532077	0.762688951351834	0.780048255098667	0.871400855125044	1.83404395337747	1.03564643029058	1.21544914438448	1.2297645832019	2.24439019811631	0.394586590810728	0.157306047066482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0279922767162845	0	0.453469714880161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.1999312314494	1.63807469746043	1.45852719272141	0.699107134413837	1.32573778511656	0.973930778301307	0.975207988642745	0.813057079215098	0.573997110539302	1.59421079053926	1.20009179749683	0.415575435104054	1.52697514873159	1.01333073496656	0.332078679469781	0.518241307387598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.344510221121303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0433512787146628	0	0	0	0	
9	9.19997686089811	1.45836283077552	1.40198997135764	0.469486387838372	1.27432085576299	0.950892286733145	1.15300070387158	1.62851631128103	1.19419190929746	0.898917761183054	1.855230024007	1.2427275245281	1.19943375407269	0.844312469639509	0.649972112524671	1.39817004679703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2927773884462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
