sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_mar:neo_oli:neo_pul	height&neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_mar:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_mar	Ne&neo_gra	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_mar:neo_oli:neo_pul&neo_gra	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_mar:neo_oli:neo_pul	mig&neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&neo_bri	mig&neo_mar:neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_mar:neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_mar:neo_oli:neo_pul	
0	9.19995321548936	2.00680295627405	1.97312869174956	1.77530967826549	0.744022123446433	0.761606852689333	0.961709837556905	0.916438289576375	1.03574055584675	1.88600182432217	0.969923145072249	0.811146925382935	1.59207527446859	1.13587374492484	0.847727017801784	1.24401756376754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0588457075292268	0	0	0	0	0	0	0	0	0	0.431550385930796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19993013105466	1.67878091466768	1.58792174670479	1.50088543752825	0.510324651352974	1.04304914867387	1.17953079763887	1.94681457461248	0.474792683711804	1.35347623040414	0.962905312830731	0.885498829063727	3.22281588929389	1.32200217486812	1.29961942535033	1.41830884155397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0877802714094106	0	0	0	0	0	0	0	0	0	0	0	0.634394537045526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19999096268005	2.23980944885975	1.99418126731945	1.79408044792237	0.551416695374592	1.96570677810988	1.16536940059795	1.74266221285973	0.990587941546076	1.76690609670707	1.01909626794635	1.15228945097778	1.55573761225461	1.29314044387592	3.95981909780889	2.10415814232229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196150843023172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19993120527009	1.56619317933496	1.49314708296916	1.45804394923535	0.541030338158914	0.749368112121601	1.13743507962565	1.30330014142827	0.537770862700089	1.90021710208539	0.875963171615265	0.775759501357392	0.676788336858176	0.511872456867917	1.1229707334017	0.966502404220531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156549950675535	0	0	0	0	0	0	0.24855878040508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.199918667273	1.99638340870279	1.2284277442067	1.08593784738528	0.168378459789956	0.712445384474424	0.960065216410852	5.07237624141892	1.08884556462903	1.72022553665559	1.40290667836021	1.97747418201275	1.05593205084882	1.94801940303947	0.882921592418503	1.45814669427389	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10602832406848	0	0	0	0	0	0	0	0	0	0.0583333659180362	0	0	0	0	0	0	0	0	0.196464407325407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.19990988329321	1.78532672161064	1.48175982671887	1.43454902562836	0.153465913296645	2.69773750050096	1.21731013362226	2.13088796491561	1.45657225176946	1.98686482359109	2.37101634341901	1.23963285051822	1.31747805482236	3.06316124248049	1.53807669039496	1.47535660111612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146917253612821	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020255949160246	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19994741978871	1.96470825468561	1.82990500462553	1.62116702726606	0.761963551088513	1.4449714007247	1.08802327180657	2.25906640256568	0.46915097000683	1.13309543699048	1.20610403119927	0.987206036708207	0.78868482544323	0.300663441519892	0.851049852828577	1.81630428418494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105991059729586	0	0	0	0	0	0	0.238039845024505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19992168229536	2.10416301915859	2.03583757405914	1.9469437665848	0.413438268195698	1.08111784492595	1.23918366976319	1.43070393055894	0.403648899547584	1.81121320810793	2.42589197268976	1.71220384299109	2.78611023557617	2.16110480332592	1.45508896014534	2.51412487942598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272474708939765	0	0	0	0	0	0	0	0.134949273412485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19997760464681	1.67378610794549	1.55078735794852	1.52666367101779	0.663095195267213	0.921716398585808	1.02725269239437	1.11555684337793	0.319650380511272	0.558840967819445	0.645520308378514	0.478476295465511	0.433406343203966	1.10573903499978	0.709269419165185	0.779909937864652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190022462138301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19993385788506	2.04064100127672	1.78960534667772	1.54762401510483	0.229223605996927	1.53625541476264	1.15275448542907	2.34791696190671	1.20726211690269	2.13295449686985	2.38076224614112	0.969203647702841	0.797249258871588	1.12217376418474	1.38787922891178	2.08363920604127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50619994706786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
