sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_pul	height&neo_bri:neo_gra:neo_pul	height&neo_bri:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_mar:neo_pul	Ne&neo_bri:neo_gra:neo_pul	Ne&neo_bri:neo_pul	Ne&neo_pul	Ne&neo_bri	Ne&neo_gra	Ne&neo_mar	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_mar:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_mar:neo_pul&neo_oli	mig&neo_bri:neo_gra:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_pul&neo_mar	mig&neo_bri:neo_gra:neo_pul&neo_oli	mig&neo_bri:neo_pul&met_zeb	mig&neo_bri:neo_pul&neo_gra	mig&neo_bri:neo_pul&neo_mar	mig&neo_bri:neo_pul&neo_oli	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_bri:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_pul	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_pul	mig&neo_oli&neo_bri:neo_gra:neo_pul	mig&neo_oli&neo_bri:neo_gra:neo_mar:neo_pul	
0	9.19992781629251	1.86685712793952	1.7736917234158	1.08583202109596	0.770901442410499	1.2313018497272	1.09852109382497	1.33761185747109	2.63233606533522	0.673723070945828	1.91894336237713	1.4075678627364	1.28223735561806	1.5776925330049	0.441983164659203	1.12443285909741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.474933412465788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19990838580887	2.09445599156737	1.21477479804074	1.0897069857936	0.381775380990778	2.16621943944111	1.02720645863821	3.10296649936208	0.876132257426329	1.17074832057646	2.57453488364213	1.80807490153124	1.65891104771801	0.484051267302959	0.512937258983663	1.28229259754454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.724407942257835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051780162290981	0	0	0	0	0	0	0	0	0	0	0	
2	9.1999681118663	2.22453188059053	1.29585199307946	1.08301906451067	0.426214916767947	0.477217683180389	0.67481054953085	1.90925576044533	0.663123090602904	0.894485913256982	1.02146993467813	0.953606605356647	0.513325877954906	1.17766592860336	0.553731232900017	0.381282677235064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390283661311852	0	0	0	0	0.334914285817976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12014323404314	0	0	0	0	0	0	0	0	0	0	0	
3	9.19999086562984	2.22911799531654	1.1356831950621	1.11618127429111	0.822074729022713	0.362886388118902	0.663276481553991	1.71432091792472	0.604821995437069	0.409304855113941	1.14195798885083	0.345675905781581	0.666401882383734	1.13661562137217	0.310230350075077	0.604955290898985	0	0	0	0	0	0	0	0	0	0	0	0.313489830068623	0	0	0	0	0	0	0.297404823544547	0	0	0	0	0.255303928708439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19999050636849	2.83068155583997	1.33981031614336	1.14224228941124	0.706861894939897	1.22763022291136	0.760229410420673	2.68523353223756	1.75509569286565	2.13013425651027	1.94067308382552	2.0926079596817	1.25381442496127	0.808736022765418	0.288165475367205	1.59513158822379	0	0	0	0	0	0	0	0	0	0	0	0.29283165722868	0	0	0	0	0	0	0	0	0	0	0	0.379405546339186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.19991725361864	3.09069237072107	1.68888340011211	1.57605379114055	1.27118800424355	0.431242349275339	0.83725914246412	2.2271228132221	0.889765530147138	0.480281097497194	0.599706173885038	0.865029831779479	0.24621316206895	0.733285656333366	0.36421921091888	1.73869531085344	0	0	0	0	0	0	0	0	0	0	0	0.336454698850182	0	0	0	0	0	0	0	0	0	0	0	0.275157911510207	0	0	0.000512268484035374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19993344793551	3.15276847831736	1.48816490488732	1.2365429613094	0.544447271860237	2.98507154753806	0.830967919864684	2.14530665533039	3.55639375257593	1.55636043931842	1.1625120298528	2.15167536266053	0.616075780740741	1.74654461504803	0.295907083616529	1.45628609620814	0	0	0	0	0	0	0	0	0	0	0	0.296769756953094	0	0	0	0	0	0	0	0	0	0	0	0.318842387251545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225020198143471	0	0	0	
7	9.19998608012457	2.23424386274788	1.3082536150198	1.28592044285093	0.924984708540053	0.456484674842533	0.804123093126329	1.62590581294115	0.475643161349707	0.432132096203632	0.41934085154135	0.871537084145376	1.72281397396529	0.571582837371592	0.19391508812907	0.910157082053871	0	0	0	0	0	0	0	0	0	0	0	0.278319592104882	0	0	0	0	0	0	0	0	0	0	0	0.33352032561848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19995284227553	2.22266488098586	1.66239860428887	1.42091456554073	0.814438606030137	0.877660061595197	0.882724267097938	2.17551014747024	1.44910642002984	0.718782813451866	1.08969158288203	0.601530101944911	0.79321833642583	1.30074720202992	0.478080072539919	1.37188025437426	0	0	0	0	0	0	0	0	0	0	0	0.63881795377027	0	0	0	0	0	0	0	0	0	0	0	0.578308537888239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19990237181154	2.52113080750295	1.84076933087918	1.73423642925389	1.14255644630892	0.778259493766532	1.01764138149162	1.52286372102915	0.654791099635559	0.970635214095505	0.736190362297943	2.00905205159914	1.01635546362108	0.903678513037068	0.329364919320913	2.15789308554343	0	0	0	0	0	0	0	0	0	0	0	0.651667695300954	0	0	0	0	0	0	0	0	0	0	0	0.192092425528346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	9.19991592203192	2.55189119521039	1.28583392799768	1.26850642152588	0.8514771357318	0.631426590856212	0.820850768227123	1.70024637567103	0.501405903415366	0.544030388537662	0.439228876686597	0.462907312336043	0.995547820555838	0.75006146566293	0.221043028105432	0.414603230532883	0	0	0	0	0	0	0	0	0	0	0	0.321565518778507	0	0	0	0	0	0	0	0	0	0	0	0.360337585668681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	9.19998227583919	2.68601493546756	1.45332206774712	1.4187127076663	0.702486147524016	0.981388492812726	0.680163689412032	1.70210479612503	0.578939253959441	0.510251666154061	1.66420337745966	0.792528945029293	1.04369458041331	0.658956774695317	0.423568198316105	0.667572184324916	0	0	0	0	0	0	0	0	0	0	0	0.311126378428244	0	0	0	0	0	0	0	0	0	0	0	0.537181141675974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0477228589259638	0	0	0	0	
12	9.19997563898607	2.24227001536922	1.35583668697297	1.03447149238248	0.604068759258963	1.71577848134751	0.964500195254206	2.6293559837923	0.988231919098649	1.25622065950439	2.19649055447492	0.816973931699628	1.42462666224983	0.799666726391334	0.325667809445893	0.767544778239963	0	0	0	0	0	0	0	0	0	0	0	0.484389888724589	0	0	0	0	0	0	0	0	0	0	0	0.663943270794115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19996385070078	2.03827236287372	1.89046382824824	1.28784000579734	0.324311558378947	0.486184040878024	1.03642298791422	1.93504295210771	1.54233785863331	1.52179887635261	2.73511699816308	1.31508463161828	2.41114519808771	1.5400332433872	0.630463955756733	1.24087948245569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241756750008826	0	0	0	0	0	0	0	0	0.99959549774518	0	0	0	0	0	0	0	0.0743585612653847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169424375891798	
14	9.19997825555105	1.85395784473303	1.78487604406556	1.61589469931991	1.05694355369559	0.331279811185302	1.10868857331109	0.892154886030805	1.53661121865372	0.427847072031502	0.353869820903277	0.622646735955651	0.441854519934249	0.779597465262387	0.492184025729228	1.07180551402234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342060171396916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0810144485387667	0	0	0	
15	9.19990641967397	1.75649164168607	1.49170551555645	1.34121895301531	0.642796594383907	0.912218472161471	1.14531465797605	3.07848763087354	1.05424128930308	2.41988693601156	0.944198440428164	0.795966855939522	0.758744554299064	1.33162816747653	0.623679467239699	0.935455263220415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44029531341279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.980810577465964	0	
16	9.19997345798323	1.63849394318895	1.44564948232121	1.32926381324899	0.729991120777305	2.07618497307221	1.19720269126284	1.86565722425279	1.04326588449414	0.849850327588869	0.757013847309832	0.982593247049017	1.88034086239771	2.27300655405074	0.643140542760928	1.02401946226429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.542811991656087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	9.19997435761336	1.89374982886109	1.43194036634385	1.38025738946635	0.420381216145876	0.840702889479459	0.908083666300305	1.81909880455987	1.18322036114866	2.11535886282239	0.855083029115349	0.880319949953195	0.714708796383098	0.939550373424586	0.626032022380233	1.01408009480803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.757059840200506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
