sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&neo_mar	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	
0	9.19993068774114	2.33236395628772	1.79293309349631	1.38840016644139	0.302828224439178	3.08512530680032	1.2701004526108	2.30054871195085	1.21835875459525	0.976805615397585	1.76760292028001	1.29030843690031	2.55752530121944	2.16602126690816	1.28728703847622	2.25249455289259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00690113246793511	0	0	0	0.493827218512475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19995578629512	1.88267010451179	1.45485117847394	1.16413107916032	0.656801415993333	1.21330219892098	1.04141892113088	2.34587041905463	0.475541764507208	1.11323113415717	0.499354569312103	0.477021644358864	0.784349582844719	0.890061284831441	1.78657753548716	1.23391075889937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181811720852441	0	0	0.172055560544321	0	0	0	0	0	0	0	0	0	0	0	
2	9.19992605777923	1.91727526052229	1.48464874081738	1.45461200325662	0.327675680411487	0.96592808551893	1.21025852758777	2.94922784231901	1.60295737021307	2.24822029989949	0.639397751497145	1.14172713037695	2.2127610639017	1.35737981636279	1.42836702232729	1.14733431516782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0920259528811787	0	0	0.237993094109857	0	0	0	0	0	0	0	0	0	0	0	
3	9.19997094412639	2.28751714953572	2.02092792085582	1.15262602037958	0.741012577769157	0.357306330009879	1.05126257200272	2.00287769151079	1.81663107946007	2.18830892651874	1.81172743284855	0.864347380646981	1.59995976813921	1.35269934158226	1.28117051537299	2.40020339035872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19990953530266	1.73759150064903	1.58287310708226	1.19612600728518	0.475449619144611	1.48041150559902	1.10131804452847	0.529125721484253	1.12657804149306	1.35119693767368	1.07807800862053	1.32336349396146	1.57817219934929	1.61822234103349	1.05239917051794	1.43506437481978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.19992445640281	1.3971478209331	1.22851889407707	1.07259258214809	0.69727120568232	1.07206084405209	1.11799237512348	0.973911891095439	0.633742816290894	1.05012851581702	1.0585762395528	0.876420416153604	0.578083516565925	0.796443574045006	0.454877375381764	0.582456114979695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19994044570464	1.5302922784691	1.52282659786912	1.21028104132785	0.839716103726409	0.614863424699051	1.06149473425785	1.05219471361949	0.457698570685129	1.34815333152271	1.72542979048221	0.55585277322752	2.79124470877004	0.891394780185048	1.24592949482631	0.894857120010265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19991785547771	1.84531352460099	1.49799187102847	1.04533332328778	0.583664067602983	1.5993154689996	1.24700565344465	2.00171373322274	1.11746133867057	1.80588925790077	1.61208566538575	0.885658818396014	2.03808955587764	2.55651890434493	1.33083704329292	1.88919746032711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116878577357324	0	0	0	0	0	
8	9.19996048499873	2.58000479782169	1.77774130707729	1.35645564899448	0.355659812152767	1.34104847957715	1.0140003811135	1.71262551213725	0.810627585632286	0.932323286336196	0.67356526773309	2.5549373403322	2.47217201552983	0.743801103354769	1.45594640225323	2.3586996993515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0450460529009521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153183059516667	0	0	0	0	
9	9.19998201844159	2.54028513046532	1.52270204284996	1.26881327706717	0.846674254351453	0.759073236897516	1.03801404175704	1.86300129418159	0.489365207362573	1.07259831997175	0.795862668327231	0.49244344030074	1.27059588352932	0.731302143893025	0.301986167666857	1.84981084195859	0	0	0	0	0	0	0	0	0	0	0	0.191650748130221	0	0	0.0806363599887846	0	0	0	0	0	0	0.434124808407241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0533844485499967	0	0	0	0	
