sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_bri:neo_gra	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_bri:neo_gra	Ne&neo_bri	Ne&neo_gra	Ne&neo_mar	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_pul&neo_bri:neo_gra	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_gra	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli	mig&neo_bri:neo_gra&neo_pul	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_mar&neo_oli:neo_pul	
0	9.1999084359004	2.08902014549829	1.03477335416438	1.91506967963719	0.775981228504886	2.90725268997677	1.2322053365889	1.05638471546961	0.837550565476726	1.52474962666573	2.1525156190156	2.14474964297437	1.59903528981665	0.376008196264178	1.23846148854975	1.6450666432335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184733255117404	0	0	0	0	0	0	0	0	0	0	0	0	0	0.621371869131385	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19992628261538	2.43101980987915	1.02563810498713	1.6002533063105	0.892248392643813	0.817735442300726	0.775025488734572	0.475710864981868	0.247711066716405	0.627563093116085	1.37676929439666	1.40488100614094	0.315421807047031	0.950927858978347	0.191481594784235	0.230841443379062	0	0	0	0	0	0	0	0	0	0	0	0.548701905050569	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420404106719932	0	0	0	0	0	0.95502547163022	0	0	0	0	0	0.49084119721831	0	0	0.0359511838411717	0	0	0	0	0	0	0	0	0	
2	9.19992071490946	2.49115631974578	1.08625042389578	1.26396041724719	0.843625627609202	0.900739027681556	0.850150387131161	0.396455849060201	0.219725037865742	0.164693721924884	2.63367363537458	0.886471920935494	0.28743054008836	0.457917960419608	0.17368645796184	0.935332191392659	0	0	0	0	0	0	0	0	0	0	0	2.77879719456551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583258587003484	0	0	0	0	0	0.321121346811656	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19998839115904	2.52523382042244	1.057512511676	1.64412912357796	1.00455029085236	0.762907681922474	0.978396429934462	0.771546281897478	1.00325379979259	1.60264562974631	1.71128390077264	1.4235786628065	0.948224608722788	0.541258391527298	0.396325613902941	1.08870744248966	0	0	0	0	0	0	0	0	0	0	0	0.202405652455292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.330668328367513	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19993661456328	3.3340820108545	1.36438552761354	1.52134796408555	1.15687952449508	1.25130774229273	0.723179360132111	0.41880571477124	0.444925230466918	0.325646836151191	1.65436715863241	1.0759034406758	0.519397881758143	0.768370351314213	0.586824310842415	1.52004039982102	0	0	0	0	0	0	0	0	0	0	0	0.811610667001411	0	0	0	0.048180618446413	0	0	0	0	0	0	0	0	0	0	0	0.273621968313115	0	0	0	0	0	0	0	0	0	0.379322391407729	0	0	0	0	0	0	0.0152386609845961	0	0	0	0	0	
5	9.1999085448386	3.21161408782982	1.2171188750338	1.64839095009253	1.14609125737054	1.72212701201702	0.878641968759025	0.560864782098174	1.67299444177728	1.79000813862628	2.839608390486	0.981156931698619	0.411694280718805	1.31400175111007	0.61532773240746	1.88209356022165	0	0	0	0	0	0	0	0	0	0	0	0.28583521464212	0	0	0	0.223382088217904	0	0	0	0	0	0	0	0	0	0	0	0.310340818559252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00846160140761821	0	0	
6	9.19990429376265	2.30372086196922	0.879947050646568	1.09953832250616	0.490583335089765	0.964737961060712	0.967100005340518	0.498964244890042	0.709091057830934	0.738241754448364	1.56545709561505	2.13813227111046	0.568837916766147	2.22567432069542	0.654358053569618	0.892010752726704	0	0	0	0	0	0	0	0	0	0	0	0	0.346354588423004	0	0	0.778106538518156	0	0	0	0	0	0	0	0.00472732894181754	0	0	0	0.34129510729369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.1999041872548	1.98440741819291	1.21736473602472	1.47618605771613	0.989510391535686	1.20435068162357	0.906298423515282	0.37431494704661	0.7659777440577	1.01262530480271	1.45646015659532	1.14817823315707	2.66628735684241	0.708910819603609	0.578994680916911	1.40268124307414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104881852776169	0	0	0	0	0	0	0.0987956007108933	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315960531240723	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19999686691453	1.91271790086639	1.14696126950748	1.65134820667859	1.11113357054376	0.352854154740066	0.799541869008566	0.537252743890474	0.348259652807889	0.9579242362372	1.74833924394046	1.52731307057516	1.67411755444569	1.43958421538314	0.511226965074075	0.435487085457698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160596673766904	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379406656882598	0	0	0	0	0.034338513030647	0	0	0	0	0	0	0	
9	9.19990098763491	1.91526718808423	1.02484842259142	1.56765439152345	0.663680494913805	2.52525822734268	1.18151760093753	0.509763502895083	0.691460913944199	1.12520038232639	0.957938356381145	1.60989130643476	2.94272114254467	0.571201872144644	0.823214019597445	1.06167384368309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12575204002322	0	0	0	0	0	0.0203478032234316	0	0	0	0	0	9.36093267567706e-05	0	0.35044017780503	0	0	0	0	0	0	0	0	0	0	0	0	
