sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_mar:neo_oli:neo_pul	Ne&neo_mar	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&neo_gra	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_mar:neo_oli:neo_pul&neo_gra	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_mar:neo_oli:neo_pul	
0	9.199974214619	1.61898478347879	1.39839757573438	1.19802831889614	0.779949371992206	0.789610221117066	1.03525778636105	1.2441912593714	0.759479264776998	0.857178552620069	1.51852912277736	0.722848914075067	0.958287898047931	0.894115771466608	0.205108659420603	1.19486847796814	0	0	0	0	0	0	0	0	0	0	0	0.143995174486236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19993252266605	1.65335283680883	1.56728487601691	0.909524281957457	0.473374469217926	0.523832439044773	1.13612362110514	2.40369567620123	0.669888125741058	4.22643461331609	1.97569314441372	0.73781165654608	0.758384969203529	0.968390380841387	0.413161671688535	0.70670695516976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19991592204992	1.59150002740556	1.41302110326808	0.836174300012318	0.762069909468901	1.68021474593287	1.09229908095804	1.40811088098066	1.36276278442425	1.83313211634595	1.41695824991605	1.61176159629179	1.01082717712036	1.74360174597212	2.064199653114	1.40357114936771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19995587853828	2.04609001800869	1.75570741796503	1.2943049028841	0.374811158693988	2.04634989009643	1.04348209436274	2.67844158330453	1.76086331027989	1.82161949061222	0.978277795255518	2.31741086969308	0.664729180969534	1.33556281441949	1.06870662903109	1.793377043524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19998220152425	1.90040264010667	1.6395275872296	1.12039710312455	0.72273256290858	1.72868983790627	1.22527356183316	2.93402675045719	1.36395963537085	2.73927673505633	0.614553384363968	0.984572106563717	0.909095885100702	0.879181975604684	1.41052302979504	1.6754339518411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.1999258616728	1.65135866683326	1.44573440672207	1.17552873562382	0.1465941606767	1.62515284627606	1.12625744806863	2.13735528887908	1.52789079992002	1.28516455798514	3.95971277894179	2.45590154036074	1.86327867841278	1.71390334180767	1.93787310244705	1.0812329593857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19997110593998	1.82346033224197	1.61177197200699	1.30588096337803	0.463598502561314	2.24991965363711	1.33503729339123	3.59315743147244	4.47864089207526	1.26261199083236	3.03509623894268	1.50136939705361	1.7676056824607	1.56561890199627	2.12190063365568	2.1509455600711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165233638253023	0	0	0	0	0	0	0	0	0	0	0	
7	9.19999553826398	1.77411770487045	1.51010641721975	1.23337000761233	0.532974098370087	2.00010876116003	1.06758372067977	3.17272454084319	1.06681006394213	1.02511201006662	0.676868662169754	1.80281169332669	1.45884350685621	3.395279817953	1.99745108040707	1.47471232036317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123610532833229	0	0	0	0	0	0	0	0	0	0	0	
8	9.19991736566796	2.14731587667872	2.13868968331042	2.12691590117168	0.65872822679177	0.836021330208903	1.09810195594532	0.500479530303649	0.908266951676163	0.597999517211624	0.787924535800766	1.20378245590592	0.933237327126943	0.564273408135181	0.26668532556996	1.96518162902274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132931996088314	0	0	0	0	0	0	0	0.0342274820660428	0	0	0.412882244203348	0	0	0	0	0	0	0	0	0.082920248193793	0	0	
9	9.19997855809445	1.73106367917602	1.68059478117886	0.798400438152147	0.475979182913367	1.74279379139636	1.04108305916149	1.50361828515252	0.978181514054645	1.7093324591017	2.2613667480626	1.01395629094964	1.77574082181776	2.83769165323001	1.49381827601979	1.05820835015274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	9.19994885103157	1.9178804727014	1.84614564817867	1.15286360928053	0.74109243488761	1.06386830786099	1.12294725161546	3.86865925337681	0.521012808684694	3.41650457599713	0.577457409516188	0.837895512268617	0.946813200167604	0.672975573015881	1.16464184752819	1.85852888953585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	9.19991185556783	2.84580399117301	1.52795199180712	1.12402899789143	0.740362509849675	1.27324395766559	1.01175878534768	2.29701920169665	0.806274504606448	1.07534586375455	1.43325434934188	0.994857433578491	0.933658520017364	1.09734744122426	0.301408639869502	2.21383033523557	0	0	0	0	0	0	0	0	0	0	0	0.293748703954355	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0214727983405502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	9.19995648995347	2.34316642944429	1.21994881458581	1.10032688416919	0.733857345382149	0.661572863288743	0.983707386875158	2.96648231835064	1.30420124316857	1.71321272153521	1.23181385091629	0.781140176858361	0.689210945889531	1.80353149020413	0.376105114237182	1.39685158458053	0	0	0	0	0	0	0	0	0	0	0	0.330540507918114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19993641584143	2.2055580515229	1.24081895772519	1.17550136427394	0.812390629895868	1.04009524467788	0.87770629210279	1.87510629697896	0.478661731673308	0.481805606040488	0.203999727107578	0.384541218868371	0.383255297863181	0.56077459309286	0.374297261153313	0.747710418260002	0	0	0	0	0	0	0	0	0	0	0	0.398083414167628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	9.19993051135068	2.26812079816476	2.24249810414885	1.44522182084998	0.966765189893084	0.972953150810522	0.941500044572469	1.27799404790604	0.876085486670755	1.86694713258155	1.61401979156566	1.0228607335519	0.535113635656985	2.05695406269406	0.932794321677077	2.25729419871334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	9.19998309092583	1.71366852541209	1.38087726329302	1.17323043799621	0.569423785993094	1.1624497872037	1.04433793066745	2.97329901577725	3.67699044252629	2.46975468180079	1.41527631467915	1.31569801169597	0.912102453537288	2.01686410221861	1.43667474397719	1.41056787100789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.19993687329343	1.94378284752747	1.91159728997393	1.53854936254654	0.358439950104949	0.95006790110484	1.00575129600909	1.23480506575388	1.52473219977931	1.51725081550969	0.544920563441929	1.52443596631336	0.591756377519056	1.26206926201463	1.4842792136451	1.6114810414209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332684821225674	0	0	0	0	0	0	0	0	0	0	0	
17	9.19990406774108	1.87401610827546	1.80268262162541	1.59499973195436	0.733033941973034	2.19872692920225	1.33590935952604	1.71315674225113	2.57921133471996	1.32679477331497	3.41963113304932	1.18017116823953	11.0035421146071	3.0947062370275	4.94288329374386	2.63674625968104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0378444692435679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	9.19991669357025	1.63153008824892	1.597006623655	1.09465636726839	0.274481574995087	1.00033948812398	1.25367180815417	1.40646450010211	1.68477678365318	2.35517695925615	1.3425587722913	1.16776581250996	1.54144907557205	1.63927015744862	1.62922154559763	1.62789708153988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0575168815453869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	9.1999422432741	1.66621847998007	1.5810698141647	1.04059829520922	0.242295684753861	6.17786900720835	0.970776853940796	3.68446696944249	0.737269401971451	1.25465224800845	3.27286857220238	2.16815194460471	2.00142280088118	0.635671404601786	3.1576371506007	0.923812990291588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	9.19994703035382	2.33879903374936	2.02902471679663	1.3462855422389	0.333383746950657	3.05102425799076	1.02186208074122	2.49728584712389	1.88786631809609	1.98521429665756	1.05578192522174	3.59913752891684	1.19566931465033	1.70533883641584	1.60731476428073	2.63525030755209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0370073536875757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	9.19994116944395	3.05656083676485	1.27374003243356	1.11955240476716	0.770565927608137	0.238914477883529	0.680136832573992	1.83689874319681	1.55434250505739	1.3702680950445	0.66230242024519	0.771856136022512	0.454365613237435	1.06982728234253	0.272253939645648	0.780027886735596	0	0	0	0	0	0	0	0	0	0	0	0.268040537248219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	9.19998766176947	2.45449011623617	1.30520437710294	1.24763029875922	1.01640573462737	1.57737297757048	1.00380341300652	2.58479434725036	2.01761893902501	0.447396069434038	1.05163683862742	0.526660479296624	0.682849566470834	0.413056682597581	0.411456255188388	1.56458760473902	0	0	0	0	0	0	0	0	0	0	0	0.372113676293079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	9.19999405767914	2.34435611515276	1.57680580566318	0.97225542662815	0.764893019504164	0.890772545261859	0.971166075360789	2.3140804553689	1.12399952886057	1.85839437581539	0.665808829646936	0.682113470845962	1.91787039505	2.21390586770699	0.262891665149523	1.66381339437281	0	0	0	0	0	0	0	0	0	0	0	0.614742687044851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	9.19996318307127	1.78680917887719	1.76286456441187	1.43991666328726	0.185069344557354	0.943186175906687	1.10410606286892	1.01998657986661	1.21594868085511	0.851589238937856	1.66037174399016	2.65982047212568	0.526246028941632	1.39595901974713	0.879402877559768	1.03345849990447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	9.19996023159771	2.16117508108151	1.90931541691934	1.16040404452482	0.870289222832536	0.580282872034432	1.16434832166942	1.91357317415544	1.00510599681837	1.20049595277463	1.18311261042083	0.955268575321395	1.02172886374182	0.505800719627696	0.879385752308739	1.74875001707486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	9.19999107997393	2.23468420810841	2.15552837980447	0.961166987330057	0.743679425158488	2.14600461221686	1.08016890959149	2.27981694593141	1.5766308503874	4.39880152361615	0.890031983115138	0.815196170415606	3.20496396214792	0.829665229848682	2.32315865205443	2.31932686202041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265298629473966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	9.19995189274218	2.86941985882061	1.1816900984301	1.16278590987381	0.291101925501913	0.680617809766378	0.656767114930944	2.84707188073321	1.05529149785678	0.224453629363358	0.607505891482561	1.39513157210513	0.438161180844309	1.2016048252175	0.297787100485156	1.35126982239754	0	0	0	0	0	0	0	0	0	0	0	0.230555449048611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
