sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_bri:neo_gra	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_bri:neo_gra	Ne&neo_bri	Ne&neo_gra	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	
0	9.19990157799857	1.66268943274036	0.933507817465357	0.797054204488818	0.184894882177453	0.569648448212478	0.92509016324559	1.087371549393	3.57592154920567	3.69547199088044	0.571159045462723	0.64840677699945	1.15460414433973	1.66666906919972	1.63356959371524	0.367653584193612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19999750640566	2.14983855538307	1.40899424324384	1.3796146350443	0.497704657165528	1.70030752402337	1.15693141749684	0.756313707177703	2.61015118462023	1.74576270161061	1.33657896998394	1.51143089422689	1.21968290137244	2.75169770604947	1.78635011995349	2.68145102781386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016744963828258	0	0	0	
2	9.19999269147331	2.32870256480331	2.24618049776718	1.85163642013643	0.23641968048908	0.733844963766508	0.781908680434285	0.427369911660579	0.759619741119745	1.00637073519777	0.701902397305876	0.479489980981225	1.7616972865996	0.729177632072792	1.32988140622966	1.18874332993152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0193011024607451	0	0	0	0	0	0	0.041776322351628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01817465310433	0	0	0	
3	9.19993556730864	1.88588849144602	1.81270198322084	1.44283093016662	0.745506953509524	1.39467111711365	0.909921710236833	1.59596688474024	1.95092738752583	1.45379211415879	0.979962246508947	0.429446094117663	0.779558654978739	1.29039789461498	1.20021825120886	1.5520487086999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028867042864079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298295637379282	0	0	0	
4	9.19991868394448	1.83814322950663	1.71684802236079	1.38095576181557	0.709633327499552	4.14376162539516	1.19311160307208	1.42769929971315	2.90647554828574	5.10765239429952	2.85625336345553	8.52578966770384	1.21491482108014	3.16620942510215	4.02021037047468	2.33066574522665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0582739186918643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.19995459966962	1.79968705091788	1.17527181220283	1.06594372868135	0.725216403983668	0.517319186538907	0.964096403017114	0.242849036909379	2.24100987343358	0.805044147125066	0.810460072140164	0.365322999938963	0.77966448545549	0.561317420719987	0.875489991898799	0.571356540713441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35803372031451	0	0	0	0	0	0	0	0.288584926049416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19997219053795	2.52021172867524	1.2109314631514	1.07061673961577	0.703655235277342	0.777376283527742	0.629007555288697	0.234722813433923	1.6420394567439	0.58041834030775	0.36318661570739	0.393195732650426	0.592500045188408	0.522762778976396	1.89729267355084	0.595126853646177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462522382703049	0	0	0	0.178625557427078	0	0	0	0	0	0	0	0	0.10916529860346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19996456055418	1.97182680850263	1.64738335408676	1.4247494712712	0.596637187476851	2.63330045596849	1.14886022802681	3.12530133246897	1.3821675530999	1.29345102417945	0.846633168768414	0.853290133718243	1.19865418439181	1.0272806088246	0.539581460973266	2.33272727679106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298938377288587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25282848266013	0	0	0	0	0	0	
8	9.19997444514465	1.58157546850238	1.57544387826428	1.13323247717628	0.311820375259665	1.84514063359523	1.19526381302291	0.393234461377736	0.561993200845756	1.33603802414911	0.46782207669679	1.47808788932286	1.00885822311623	0.860262865795726	0.813562548154383	0.932027234836756	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403419205644502	0	0.00516438900315277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.629840566835518	0	0	0	
9	9.19995065594173	1.72922724719315	1.44712539292458	1.29733377419603	0.879227391953103	1.30724075036199	1.20964894203311	0.850709731966818	1.83892836379043	1.02246912644331	0.484830795377392	0.576063156923327	0.547689655465412	1.67346993388079	3.14063179609667	1.14590279094458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378663662264024	0	0	0	
