sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_bri:neo_gra	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_bri:neo_gra	Ne&neo_bri	Ne&neo_gra	Ne&neo_mar	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	
0	9.19994951685147	1.73067007172484	1.72239253417614	1.57218504972729	0.848528047310954	0.760049374382171	1.05953279731366	1.03756454631603	0.722770681015163	0.616151540892016	1.38626468939509	0.551535205768392	0.605624765588928	0.812369767831733	1.55871122053197	0.857796726964687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203735496337002	0	0	0	0	0	0	0	0	
1	9.19997851340361	1.99409888166426	1.75102981821727	1.51051772723117	0.654981611976951	0.951383905910793	1.01932361765318	1.37837586918466	0.889175685297739	0.603131206465808	1.33217673660235	2.42943045567541	1.02487096425248	0.7988624504058	0.613874580437074	1.43306848396941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.350838121208596	0	0	0	0	0	0	0	0.395456056100875	0	0	0	0	0	0	0.45138867700895	0	
2	9.19997172352923	1.85807987243988	1.57853642875845	0.982948688960667	0.815806594971772	1.283163534468	1.00660517959707	1.30473018921865	1.43865778410219	0.390882864782979	0.904765958214877	0.502943907471311	0.396752421050527	1.01589617939622	0.872561062233248	0.970285119496868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321850221133224	0	0	0	0	0	0	0.0866779117853012	0	
3	9.19995526507934	2.02126229029501	1.53144420234829	1.41071841271273	0.93030444751694	1.16041005787415	0.940706416143372	1.64851198716076	1.02104353547033	0.400606030891693	0.621849033260133	1.06545059694647	0.684576772848824	1.15976107514798	1.02168415814934	1.3467050302864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253343469683463	0	0	0	0	0	0	0.323731852442306	0	
4	9.19992138581853	2.08636429839416	1.92122331751232	1.61277890555905	0.259748252423211	0.760287359973981	1.39114679874849	2.13934177328944	2.20868597589073	1.18362385125032	1.22379458700377	1.92420503390257	1.64094435647987	0.716857385708935	1.81959897140851	2.22789746046066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49806745211306	0	0	0	0	0	0	0	0	
5	9.1999095571867	1.65652601709548	1.27897961310489	1.11907523135334	0.784372734123958	0.72006678544061	0.836634036405494	1.78020535786544	0.749469771369358	0.797761513313643	0.795048776340753	0.263049331831123	0.432567962476113	0.640643470389307	0.797570914518129	0.372042330134008	0	0	0	0	0	0	0	0	0	0	0	0.115473375969227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195816297455688	0	0	0	0.467365838140718	0	0	0	0	0	0	0	0	
6	9.1999359230977	1.7573460202708	1.73147737034947	1.37704298306564	1.0929164721701	0.276783000333181	0.953643009899693	0.911653370583403	1.2543047575217	0.314815009690836	0.836314906666733	0.231265693341553	0.360731508562384	0.297941556633783	0.941717571240032	0.989664322159941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209337270401957	0	0	0	0	0	0	0	0	
7	9.19992917849498	1.76136379519714	1.39616330871302	1.23165749397285	0.629429410836314	1.03150278946675	1.04680852120663	1.89467559747166	0.635167959184739	0.833845315678572	0.907437244000154	2.49921145415748	0.87449503541965	1.8020341660654	1.4837008413112	1.16189639684276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174819992645437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494662469728496	0	0.034763751293863	0	0	0	0	0	0	
8	9.19995592950398	1.84636876725574	1.67501732979994	1.43811809758106	0.521753249101338	1.02025756994738	1.10766888286071	0.69025488358395	0.994274705900513	0.559717159531071	0.75197568320653	0.398828064260209	1.09300886688251	1.04534367881767	0.840629180520849	1.29792103349247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0830081043694063	0	0	0.480545381750212	0	0	0	0	0	0	0.0807213997111089	0	
9	9.19997401821616	1.95951505535597	1.56154929197711	1.43730106281933	0.897512755619953	1.01647905295762	1.27682623866053	1.88003487175013	0.436025329834797	0.616993675569372	0.586107179834633	0.800595119780282	0.808737304934583	2.07012490561316	1.13210753220959	1.76018508301026	0	0	0	0	0	0	0	0	0	0	0	0.101727857881521	0	0	0	0	0	0	0.123592120262821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290913217625149	0	0	0	0	0	0	0	0	
