sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra	height&neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra	Ne&neo_gra	Ne&neo_bri	Ne&neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_mar	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_mar:neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_mar:neo_oli:neo_pul	mig&neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&neo_bri	mig&neo_mar:neo_oli:neo_pul&neo_gra	mig&neo_mar:neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	
0	9.19997420954872	1.97130765637954	1.7151787724589	1.5928804526742	0.70737234370486	1.29261770897056	1.02969267240709	1.60106253938641	1.45709326488898	0.572609232793998	2.93886620195442	1.26149526319958	0.688130093332397	1.42312093656468	1.30495239788467	1.40218728274831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0430264550416307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363945299171167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19995597272562	1.84479158165652	1.81787858690916	1.79922292556181	0.873636233894078	0.835327841767184	1.17588635182406	1.17237064431777	0.953618935875163	0.587991585451562	0.555100745056559	1.10434369174863	0.821829836477917	0.499331629459352	0.530489461633152	1.40263797422588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154978578986653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19997990677246	1.82847957613367	1.71874378680557	1.67516974495641	0.763753723217028	2.52409375944128	1.29937677160374	1.88099248244277	1.45412775069245	1.03378972682727	3.30529612103426	1.39393168397664	0.82428300678903	1.24232955467729	2.00687272954328	2.57576793469182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25318166053228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19996803865522	1.83104593130206	1.62793554772176	1.60603165997301	0.569203643308653	0.572957829488459	1.10097744690152	1.02670493867211	0.493555115680889	0.530102837747284	1.05100904442726	1.02637140313745	0.865624057546517	0.376292903734042	0.420412039877453	1.29704713105828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565582004211884	0	0	0.433266286198042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19991773462279	1.75530761074915	1.60668448131766	1.43006408241195	0.776726549005898	0.856001483763486	1.0134438992849	0.755474017691426	0.653514287061427	0.309674986207645	1.97640217875999	0.463171135190954	1.00952831159718	2.1286694474859	0.821841410396405	1.07174287374406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195149857285041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.19991605734031	2.07287698050547	2.05054188351648	1.6210804607513	0.456570281167684	1.3460579420743	0.897609822342006	1.7859480009242	1.876009883314	1.07044001753071	2.31085042907354	1.53301831916072	1.24151129491624	1.62179032402928	2.39282082439557	1.61805393156678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.407838806573054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19998235692681	2.13069698306375	1.83749484886518	1.76409125713951	0.443000693614964	2.38529420539091	1.01242053201577	0.943657020328865	1.05325834926903	0.999266087090044	3.01888914146871	0.868412390043149	0.498606226652719	0.779824703517488	0.659722326498286	1.26735242466604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.718935838316207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19990469209083	2.1578828736127	2.05134096549701	1.69414405083099	0.79061524183504	2.60065430646514	1.14622635841274	2.60163973781079	3.22671316150588	0.454650396921976	2.45693854512988	1.5214930200094	2.22346647272111	1.1887505885348	0.787474038407942	2.64879023913147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377794927586496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19991013476626	1.97330075664779	1.85307042013218	1.59790502036818	0.70635262586499	1.78230950565115	1.21002432767651	0.850138258935614	1.59547133126519	0.567094574518824	2.26979074339167	0.717728630096661	1.27837870524726	0.512773826493202	1.19716709815795	1.42802063424185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254552376780207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.19995238792688	1.79801841455154	1.58167993355523	1.40221687511855	0.585592169600949	1.99654300203341	0.916090094969618	0.729269335792503	1.13327453152802	1.38068461418454	1.20112548294639	0.511864841671168	1.07379456111464	0.939005250167148	1.26878142788499	1.00930861179634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142387774479003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.450843178050231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
