sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_gra:neo_mar	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_bri	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar	
0	9.19996263559958	1.88122355977289	0.771937558444156	1.36981005990727	1.28914805619682	0.333966922459876	0.704188561259553	0.675201987410221	0.488439315629422	1.40381180370007	1.38134178247612	0.982667268039241	0.533622138439019	0.371073301270618	0.464734151663937	0.675514829061777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194704462025835	0	0	0	0	0	0	0.376101231952075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19998893131461	1.88572475485537	0.533647326770024	1.49790979005968	1.42963337116548	0.524928543495248	0.927270369897167	0.870303684622587	2.07280987202822	1.13088135300169	2.10535398455897	1.17675917084172	0.686177971892783	1.74111175487501	0.587271122308375	0.880255984688066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371416475485797	0	0	0	0	0	0	0.273644776391044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19991080082337	1.91985048158406	0.709939034528673	1.62660142470876	1.57654089476387	0.450301872957652	1.03600150011602	0.715958474615869	1.31230145741728	1.03947451392571	1.32669721986106	1.30876607793136	1.9753959265664	1.12784857604918	0.540669979566799	1.4349216930678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260977753684197	0	0	0	0	0	0	0.15419348273801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231197053021349	0	
3	9.19992584727157	1.79018270169154	0.39413852051417	1.52603966101835	1.28325945101148	0.241018712957797	0.81719360811417	0.788833251428164	1.02111838579079	0.503673144045031	0.945264104546431	1.94266066957739	1.53803316685294	0.421014511161711	0.758621431456952	0.476819202654155	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234804321089223	0	0	0	0.421355360429564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19996794509275	1.86598947881819	0.580657790836517	1.36286637950972	1.22833745663538	1.03189945425472	1.05095623890549	0.770280175062066	1.44194434115615	0.455382839544609	1.51760540799937	0.560917335381198	0.719373348026209	0.367653804336732	0.454485818925172	0.49435928437327	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117784546520884	0	0	0	0.205497439605049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131846858115333	0	0	0	
5	9.19990606654075	1.77544885442466	0.792737042663819	1.34653926190961	1.27891945600354	1.24192476551715	0.936037932171543	0.421180935033672	1.29295334701857	0.520272499010431	1.11974628430384	1.59348221874577	0.454183685403931	0.330839836292476	0.636370580184434	0.239462894730543	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480979541935524	0	0	0	0.318701793283634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0738999463593391	0	
6	9.19990654320138	1.50276653014542	0.737162895134009	1.47832946122286	0.872646535279947	1.7026679999435	1.17835695251709	0.535343645839492	0.967005340063302	0.599882688812258	1.02208378678491	3.00094854484828	0.672230979841433	0.426926799933803	1.30267077420721	1.0851815545751	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00918673849373	0	0	0	0.259588982703744	0	0	0.00153474372921088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19998703347292	2.11404048497402	1.10819267667053	1.89678432235089	1.48720667955852	2.26861680904048	1.07794728324272	0.87811020198664	1.65533262243403	1.01374712815609	1.03093314657593	0.938223742396074	0.566304991960756	0.63625717638171	0.743727834663481	1.23134468187897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155976407229853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140246835961696	0	0	
8	9.19995037638024	1.73308413691	0.242446321346581	1.66000273795635	1.33376234316586	0.786499002602539	1.04907948196343	1.59494767105243	0.910984781940356	0.525425555640558	3.18584229163003	0.676401034894515	0.677583297909697	1.9104643420382	0.548930959273033	1.10186956740716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59225546565716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0971539808916305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9.1999007014261	1.99450383123918	0.787717330393092	1.68935596454752	1.15862712116681	0.619166120195468	1.17082455233899	0.725296704340855	0.792528159101286	1.83875722016009	1.70679649306506	2.29250841275595	1.12765435573523	1.29172792665704	0.559204245574514	1.09425988971359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.287262543661404	0	0	0	0	0	0	0.223038055870738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0517801181854318	0	0	0.0252317359579713	0	0	
